Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-245,1990,11.5,73.9,1.48,17.0,37.1,20.2,4.00,73.9,1.48,0.52,35.3,0.87,58.8,38.3,182.1,98.7,2.52,1.74,0.78,1.04,0.52,48.7,7.91,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Paxten Aaronson,USA,MF,Vitesse,20-248,2003,11.0,44.2,0.73,7.73,20.7,16.7,4.45,44.2,1.82,0.73,40.0,1.00,55.0,22.0,132.5,66.4,2.36,1.73,0.82,1.73,1.73,26.3,4.82,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Eredivisie
3,Jayden Addai,NED,FW,AZ Alkmaar,18-248,2005,3.3,43.9,0.91,7.27,12.4,24.5,5.45,43.9,7.27,3.03,41.7,3.33,45.8,28.8,156.7,70.0,3.33,1.21,1.82,3.33,2.42,27.9,8.79,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
4,Bobby Adekanye,NED,FW,Go Ahead Eag,25-076,1999,18.4,35.4,0.49,4.57,14.6,17.3,4.13,35.4,5.49,2.39,43.6,2.50,45.5,22.3,167.5,83.8,3.48,1.79,1.85,3.10,1.52,24.6,5.82,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
5,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-306,2000,23.1,59.0,11.0,30.8,25.6,2.77,1.00,59.0,0.35,0.30,87.5,0.00,0.0,29.7,217.7,132.3,1.13,0.39,0.00,0.78,0.43,32.5,0.13,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
6,Nikolas Agrafiotis,NED,FW,Excelsior,24-005,2000,8.4,36.2,1.55,2.62,15.7,18.2,5.48,36.2,1.90,0.36,18.8,1.55,81.3,18.5,69.3,24.5,0.83,0.48,0.48,3.69,0.95,25.6,5.24,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
7,Chuba Akpom,ENG,"FW,MF",Ajax,28-204,1995,8.9,36.0,1.46,2.81,14.5,19.0,6.40,36.0,1.80,0.90,50.0,0.67,37.5,21.9,122.8,50.9,2.13,1.12,0.56,3.60,2.13,26.3,6.29,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
8,Hamdi Akujobi,NED,"DF,FW",Almere City,24-101,2000,14.3,53.4,3.29,15.9,22.4,15.7,1.12,53.4,1.54,0.49,31.8,0.77,50.0,21.9,123.4,56.2,1.47,1.47,0.14,2.10,0.35,23.6,3.43,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
9,Hussein Ali,IRQ,"DF,FW",Heerenveen,22-060,2002,7.8,46.0,4.62,16.9,18.8,10.8,1.28,46.0,0.77,0.38,50.0,0.38,50.0,20.6,114.4,57.2,1.67,1.03,0.13,1.92,0.38,22.7,4.36,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
10,Jordi Altena,NED,MF,Vitesse,20-148,2003,0.1,60.0,0.00,0.00,50.0,10.0,0.00,60.0,0.00,0.00,,0.00,,20.0,30.0,10.0,0.00,0.00,0.00,10.0,10.0,40.0,10.0,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
