Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-132,1990,10.2,1.76,1.37,1.18,0.49,0.10,1.08,1.76,61.1,0.69,0.39,0.10,0.29,1.18,2.94,0.78,0.00,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Jayden Addai,GHA,FW,AZ Alkmaar,18-135,2005,0.7,7.14,5.71,5.71,0.00,1.43,2.86,5.71,50.0,2.86,0.00,0.00,0.00,0.00,7.14,1.43,0.00,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
3,Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,24-328,1999,7.4,0.81,0.41,0.14,0.68,0.00,0.41,1.08,37.5,0.68,0.95,0.14,0.81,0.27,1.08,0.41,0.00,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
4,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-193,2000,11.1,1.62,0.90,0.90,0.36,0.36,0.99,1.35,73.3,0.36,1.98,1.17,0.81,1.71,3.33,6.13,0.09,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
5,Nikolas Agrafiotis,NED,FW,Excelsior,23-258,2000,8.1,1.48,0.86,0.25,0.74,0.49,0.49,0.99,50.0,0.49,0.37,0.12,0.25,0.00,1.48,1.60,0.00,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
6,Chuba Akpom,ENG,"FW,MF",Ajax,28-091,1995,4.4,1.59,0.91,0.23,0.91,0.45,0.45,0.91,50.0,0.45,0.68,0.00,0.68,0.45,2.05,0.68,0.00,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
7,Hamdi Akujobi,NED,"DF,MF",Almere City,23-353,2000,6.9,2.32,1.74,1.30,0.72,0.29,0.87,1.45,60.0,0.58,1.59,0.43,1.16,0.72,3.04,1.59,0.00,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
8,Hussein Ali,IRQ,DF,Heerenveen,21-313,2002,5.7,1.05,0.70,0.70,0.18,0.18,0.88,1.40,62.5,0.53,0.88,0.35,0.53,1.40,2.46,3.33,0.00,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
9,Jordi Altena,NED,MF,Vitesse,20-035,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
10,Jaydon Amauri Banel,NED,"MF,FW",Ajax,19-081,2004,0.3,6.67,6.67,3.33,3.33,0.00,0.00,3.33,0.0,3.33,0.00,0.00,0.00,0.00,6.67,3.33,0.00,https://fbref.com/en/players/98e0d76c/Jaydon-Amauri-Banel,98e0d76c,Eredivisie
11,Pelle van Amersfoort,NED,FW,Heerenveen,27-282,1996,9.1,0.11,0.00,0.00,0.11,0.00,0.00,0.66,0.0,0.66,0.44,0.00,0.44,0.11,0.22,0.77,0.00,https://fbref.com/en/players/8cef2308/Pelle-van-Amersfoort,8cef2308,Eredivisie
12,Jamal Amofa,NED,DF,Go Ahead Eag,25-044,1998,12.5,1.84,1.12,1.44,0.40,0.00,0.88,1.28,68.8,0.40,1.76,1.52,0.24,1.04,2.88,2.64,0.08,https://fbref.com/en/players/ec3e9827/Jamal-Amofa,ec3e9827,Eredivisie
13,Augustin Anello,BEL,"FW,MF",Sparta R'dam,21-261,2002,2.5,1.60,1.20,0.80,0.40,0.40,0.80,4.00,20.0,3.20,0.80,0.00,0.80,0.00,1.60,0.00,0.00,https://fbref.com/en/players/c16ab6bc/Augustin-Anello,c16ab6bc,Eredivisie
14,Joey Antonioli,NED,MF,Volendam,20-024,2003,1.1,0.91,0.91,0.91,0.00,0.00,0.91,2.73,33.3,1.82,1.82,0.00,1.82,0.00,0.91,0.00,0.00,https://fbref.com/en/players/cc423d7c/Joey-Antonioli,cc423d7c,Eredivisie
15,Carlens Arcus,HAI,DF,Vitesse,27-194,1996,11.2,2.50,1.43,2.05,0.36,0.09,1.43,2.77,51.6,1.34,0.45,0.00,0.45,1.96,4.46,2.23,0.00,https://fbref.com/en/players/5e837126/Carlens-Arcus,5e837126,Eredivisie
16,D'Leanu Arts,NED,DF,NEC Nijmegen,20-226,2003,0.2,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.0,10.0,0.00,0.00,0.00,0.00,0.00,5.00,0.00,https://fbref.com/en/players/9014a9c8/DLeanu-Arts,9014a9c8,Eredivisie
17,Gastón Ávila,ARG,DF,Ajax,22-100,2001,3.9,3.85,2.56,2.56,1.28,0.00,3.59,6.92,51.9,3.33,1.79,0.26,1.54,0.77,4.62,3.08,0.00,https://fbref.com/en/players/f648b2e1/Gaston-Avila,f648b2e1,Eredivisie
18,Marouan Azarkan,NED,FW,Utrecht,22-031,2001,6.7,1.94,1.34,1.04,0.45,0.45,1.34,3.13,42.9,1.79,1.94,0.00,1.94,0.60,2.54,1.19,0.00,https://fbref.com/en/players/9469388f/Marouan-Azarkan,9469388f,Eredivisie
19,Anouar El Azzouzi,NED,DF,Zwolle,22-224,2001,1.1,3.64,2.73,2.73,0.91,0.00,0.91,2.73,33.3,1.82,1.82,1.82,0.00,0.91,4.55,7.27,0.00,https://fbref.com/en/players/22a6a4d7/Anouar-El-Azzouzi,22a6a4d7,Eredivisie
20,Julian Baas,NED,MF,Excelsior,21-267,2002,15.5,2.00,1.42,0.90,0.71,0.39,0.77,1.81,42.9,1.03,1.35,0.45,0.90,1.74,3.74,1.16,0.00,https://fbref.com/en/players/7156acb5/Julian-Baas,7156acb5,Eredivisie
21,Youri Baas,NED,"DF,FW",NEC Nijmegen,20-297,2003,8.5,4.47,2.71,3.18,1.18,0.12,2.82,5.41,52.2,2.59,1.65,0.59,1.06,1.06,5.53,1.65,0.12,https://fbref.com/en/players/ca002b1a/Youri-Baas,ca002b1a,Eredivisie
22,Isaac Babadi,NED,"MF,FW",PSV Eindhoven,18-277,2005,1.3,2.31,0.00,0.77,0.77,0.77,0.77,1.54,50.0,0.77,0.77,0.00,0.77,0.77,3.08,0.77,0.00,https://fbref.com/en/players/52f7e3a7/Isaac-Babadi,52f7e3a7,Eredivisie
23,Mio Backhaus,GER,GK,Volendam,19-267,2004,16.0,0.06,0.06,0.06,0.00,0.00,0.06,0.13,50.0,0.06,0.06,0.00,0.06,0.06,0.13,0.38,0.06,https://fbref.com/en/players/0d41f821/Mio-Backhaus,0d41f821,Eredivisie
24,Thibo Baeten,BEL,FW,Go Ahead Eag,21-218,2002,1.7,3.53,0.59,1.18,0.59,1.76,2.35,4.71,50.0,2.35,2.35,0.00,2.35,1.18,4.71,0.59,0.00,https://fbref.com/en/players/f976899a/Thibo-Baeten,f976899a,Eredivisie
25,Saïd Bakari,COM,DF,Sparta R'dam,29-108,1994,15.4,3.38,2.47,2.08,1.10,0.19,1.95,3.38,57.7,1.43,1.23,0.52,0.71,1.10,4.48,2.27,0.06,https://fbref.com/en/players/3a0fbf82/Said-Bakari,3a0fbf82,Eredivisie
26,Johan Bakayoko,BEL,"FW,MF",PSV Eindhoven,20-263,2003,13.1,1.22,0.69,0.31,0.46,0.46,0.31,0.76,40.0,0.46,1.15,0.08,1.07,0.46,1.68,0.15,0.00,https://fbref.com/en/players/0caa2fd4/Johan-Bakayoko,0caa2fd4,Eredivisie
27,Navajo Bakboord,NED,DF,Heracles Almelo,24-344,1999,9.2,2.39,1.74,1.63,0.76,0.00,1.09,2.07,52.6,0.98,1.74,0.54,1.20,1.09,3.48,2.72,0.11,https://fbref.com/en/players/216d25a3/Navajo-Bakboord,216d25a3,Eredivisie
28,Zakaria Bakkali,BEL,"MF,FW",RKC Waalwijk,27-347,1996,7.5,1.87,1.20,1.33,0.13,0.40,0.67,1.47,45.5,0.80,0.80,0.00,0.80,0.27,2.13,0.27,0.00,https://fbref.com/en/players/ec3efd7f/Zakaria-Bakkali,ec3efd7f,Eredivisie
29,Nordin Bakker,NED,GK,Almere City,26-069,1997,16.0,0.13,0.13,0.13,0.00,0.00,0.13,0.31,40.0,0.19,0.00,0.00,0.00,0.00,0.13,0.56,0.06,https://fbref.com/en/players/12f664ca/Nordin-Bakker,12f664ca,Eredivisie
30,Jesse Bal,NED,MF,Sparta R'dam,17-099,2006,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/f60ea55c/Jesse-Bal,f60ea55c,Eredivisie
31,Théo Barbet,FRA,DF,Almere City,22-308,2001,9.3,1.08,0.43,0.54,0.43,0.11,0.75,1.51,50.0,0.75,1.08,0.43,0.65,1.29,2.37,3.76,0.00,https://fbref.com/en/players/06d51feb/Theo-Barbet,06d51feb,Eredivisie
32,Vasilios Barkas,GRE,GK,Utrecht,29-223,1994,15.0,0.13,0.13,0.13,0.00,0.00,0.13,0.20,66.7,0.07,0.00,0.00,0.00,0.00,0.13,0.40,0.07,https://fbref.com/en/players/c2e41cfb/Vasilios-Barkas,c2e41cfb,Eredivisie
