Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Player Link_,Player ID_,Competition
197,Ajdin Hrustic,AUS,"MF,FW",Heracles Almelo,27-300,1996,10.2,45.7,40.1,5.20,2.35,0.20,0.59,3.33,0.49,1.86,0.59,1.08,0.10,36.6,0.39,1.08,https://fbref.com/en/players/1f2d714c/Ajdin-Hrustic,1f2d714c,Eredivisie
198,Dean Huiberts,NED,"MF,DF",Zwolle,23-350,2000,1.3,12.3,12.3,0.00,0.00,0.00,0.00,0.77,0.00,0.00,0.00,0.00,0.00,7.69,0.00,0.00,https://fbref.com/en/players/f5649337/Dean-Huiberts,f5649337,Eredivisie
199,Younes Taha El Idrissi,MAR,"FW,MF",Twente,,,5.0,54.0,51.8,2.00,0.20,0.00,1.00,9.60,1.20,0.60,0.00,0.20,0.00,34.0,0.20,3.60,https://fbref.com/en/players/2b10cb1d/Younes-Taha-El-Idrissi,2b10cb1d,Eredivisie
200,Zidane Iqbal,IRQ,"MF,DF",Utrecht,21-003,2003,3.8,73.2,71.1,1.84,0.53,0.00,0.53,0.53,0.79,0.00,0.00,0.00,0.00,62.9,0.26,1.05,https://fbref.com/en/players/6fa3c28e/Zidane-Iqbal,6fa3c28e,Eredivisie
201,Nicolas Isimat-Mirin,FRA,DF,Vitesse,32-167,1991,24.2,54.9,52.9,1.82,1.32,0.17,0.41,0.00,0.12,0.00,0.00,0.00,0.00,44.9,0.17,0.41,https://fbref.com/en/players/14e8e9d7/Nicolas-Isimat-Mirin,14e8e9d7,Eredivisie
202,Amir Ismaïl,NED,FW,Heerenveen,19-130,2004,0.1,,,,,,,0.00,,,,,,,,,https://fbref.com/en/players/aa6a85df/Amir-Ismail,aa6a85df,Eredivisie
203,Luka Ivanušec,CRO,FW,Feyenoord,25-156,1998,11.2,51.7,46.3,5.18,0.54,0.63,0.00,5.00,0.63,4.02,2.14,1.16,0.09,41.3,0.18,1.25,https://fbref.com/en/players/29fbdc88/Luka-Ivanusec,29fbdc88,Eredivisie
204,Joey Jacobs,NED,DF,Almere City,24-020,2000,19.8,40.7,31.7,8.69,0.66,0.00,0.30,0.71,8.03,0.00,0.00,0.00,0.00,23.5,0.25,0.61,https://fbref.com/en/players/9c5d3a7a/Joey-Jacobs,9c5d3a7a,Eredivisie
205,Alireza Jahanbakhsh,IRN,"FW,MF",Feyenoord,30-263,1993,3.8,61.8,54.7,6.58,0.53,0.00,0.53,6.84,5.79,0.26,0.00,0.26,0.00,43.7,0.53,2.37,https://fbref.com/en/players/08452314/Alireza-Jahanbakhsh,08452314,Eredivisie
206,Dean James,NED,"DF,FW",Go Ahead Eag,24-000,2000,0.9,35.6,24.4,10.0,2.22,0.00,0.00,3.33,7.78,0.00,0.00,0.00,0.00,21.1,1.11,0.00,https://fbref.com/en/players/7005fd4c/Dean-James,7005fd4c,Eredivisie
207,Victor Jensen,DEN,MF,Utrecht,24-082,2000,15.1,28.9,27.3,1.52,0.07,0.00,0.20,0.66,0.26,0.00,0.00,0.00,0.00,22.6,0.13,0.79,https://fbref.com/en/players/97b2279d/Victor-Jensen,97b2279d,Eredivisie
208,Divaio Jhaïr-Bobson,NED,"DF,FW",Zwolle,20-084,2004,0.6,31.7,30.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.0,1.67,0.00,https://fbref.com/en/players/fa607a8d/Divaio-Jhair-Bobson,fa607a8d,Eredivisie
209,Darius Johnson,GRN,"FW,MF",Volendam,24-046,2000,10.5,21.2,20.7,0.57,0.00,0.10,0.10,1.62,0.48,0.00,0.00,0.00,0.00,15.0,0.00,0.86,https://fbref.com/en/players/9f7f84be/Darius-Johnson,9f7f84be,Eredivisie
210,Miliano Jonathans,NED,"MF,FW",Vitesse,20-025,2004,1.0,42.0,40.0,1.00,0.00,0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,31.0,1.00,0.00,https://fbref.com/en/players/32dd5ce9/Miliano-Jonathans,32dd5ce9,Eredivisie
211,Luuk de Jong,NED,FW,PSV Eindhoven,33-247,1990,27.8,28.2,27.1,1.12,0.00,0.18,0.00,0.36,0.18,0.00,0.00,0.00,0.00,20.8,0.00,0.65,https://fbref.com/en/players/abb3bb95/Luuk-de-Jong,abb3bb95,Eredivisie
212,Mauro Júnior,BRA,"MF,DF",PSV Eindhoven,24-360,1999,7.1,65.1,63.1,1.97,0.56,0.14,0.28,1.69,1.13,0.28,0.28,0.00,0.00,56.1,0.00,0.99,https://fbref.com/en/players/a29e5244/Mauro-Junior,a29e5244,Eredivisie
213,Ibrahim El Kadiri,NED,FW,Volendam,22-098,2002,0.9,32.2,30.0,2.22,0.00,0.00,1.11,3.33,2.22,0.00,0.00,0.00,0.00,25.6,0.00,0.00,https://fbref.com/en/players/1ec32b33/Ibrahim-El-Kadiri,1ec32b33,Eredivisie
