Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Mio Backhaus,GER,GK,Volendam,19-267,2004,16,16,1440,16.0,2.50,2.50,7.31,4.81,66.7,0.19,0.13,0.69,0.06,6.3,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/0d41f821/Mio-Backhaus,0d41f821,Eredivisie
2,Nordin Bakker,NED,GK,Almere City,26-069,1997,16,16,1440,16.0,2.13,2.12,6.63,4.56,68.9,0.25,0.25,0.50,0.31,31.3,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/12f664ca/Nordin-Bakker,12f664ca,Eredivisie
3,Vasilios Barkas,GRE,GK,Utrecht,29-223,1994,15,15,1350,15.0,1.53,1.53,5.47,3.87,76.8,0.27,0.33,0.40,0.13,13.3,0.33,0.27,0.07,0.00,20.0,https://fbref.com/en/players/c2e41cfb/Vasilios-Barkas,c2e41cfb,Eredivisie
4,Walter Benítez,ARG,GK,PSV Eindhoven,30-354,1993,16,16,1440,16.0,0.38,0.37,1.81,1.44,86.2,1.00,0.00,0.00,0.69,68.8,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/8a2248b4/Walter-Benitez,8a2248b4,Eredivisie
5,Justin Bijlow,NED,GK,Feyenoord,25-351,1998,9,9,810,9.0,0.89,0.89,2.67,1.78,66.7,0.67,0.11,0.22,0.44,44.4,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/53d93280/Justin-Bijlow,53d93280,Eredivisie
6,Mattijs Branderhorst,NED,GK,Utrecht,30-008,1993,1,1,90,1.0,3.00,3.00,5.00,2.00,60.0,0.00,0.00,1.00,0.00,0.0,1.00,1.00,0.00,0.00,0.0,https://fbref.com/en/players/b74a2c78/Mattijs-Branderhorst,b74a2c78,Eredivisie
7,Michael Brouwer,NED,GK,Heracles Almelo,30-352,1993,16,16,1440,16.0,2.44,2.44,6.94,4.56,66.7,0.25,0.19,0.56,0.06,6.3,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/4f521fcf/Michael-Brouwer,4f521fcf,Eredivisie
8,Jasper Cillessen,NED,GK,NEC Nijmegen,34-261,1989,13,13,1110,12.3,1.87,1.86,5.53,3.66,70.6,0.41,0.33,0.33,0.08,7.7,0.24,0.24,0.00,0.00,0.0,https://fbref.com/en/players/04ac8285/Jasper-Cillessen,04ac8285,Eredivisie
9,Jeffrey De Lange,NED,GK,Go Ahead Eag,25-282,1998,16,16,1440,16.0,1.44,1.44,5.50,4.06,75.0,0.38,0.31,0.31,0.31,31.3,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/c31cf14b/Jeffrey-De-Lange,c31cf14b,Eredivisie
10,Stijn van Gassel,NED,GK,Excelsior,27-082,1996,16,16,1440,16.0,2.00,2.00,6.06,4.06,68.0,0.19,0.50,0.31,0.19,18.8,0.06,0.06,0.00,0.00,0.0,https://fbref.com/en/players/af72ff2d/Stijn-van-Gassel,af72ff2d,Eredivisie
11,Jay Gorter,NED,GK,Ajax,23-223,2000,8,7,665,7.4,2.30,2.30,4.73,2.43,51.4,0.14,0.27,0.54,0.14,14.3,0.14,0.00,0.00,0.14,,https://fbref.com/en/players/e0ee850b/Jay-Gorter,e0ee850b,Eredivisie
12,Jeroen Houwen,NED,GK,RKC Waalwijk,27-324,1996,3,3,270,3.0,1.33,1.33,4.33,3.00,76.9,0.33,0.00,0.67,0.00,0.0,0.33,0.33,0.00,0.00,0.0,https://fbref.com/en/players/6d8ec266/Jeroen-Houwen,6d8ec266,Eredivisie
13,Andries Noppert,NED,GK,Heerenveen,29-276,1994,16,16,1440,16.0,1.88,1.87,4.69,2.81,62.7,0.38,0.06,0.56,0.25,25.0,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/2dc9d6fb/Andries-Noppert,2dc9d6fb,Eredivisie
14,Nick Olij,NED,GK,Sparta R'dam,28-160,1995,16,16,1440,16.0,1.38,1.37,5.25,3.81,75.0,0.38,0.25,0.38,0.25,25.0,0.13,0.06,0.06,0.00,50.0,https://fbref.com/en/players/fdc67d9a/Nick-Olij,fdc67d9a,Eredivisie
15,Ivor Pandur,CRO,GK,Fortuna Sittard,23-289,2000,16,16,1440,16.0,1.75,1.75,4.88,3.19,66.7,0.31,0.25,0.44,0.25,25.0,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/457cb02f/Ivor-Pandur,457cb02f,Eredivisie
16,Diant Ramaj,GER,GK,Ajax,22-111,2001,10,8,744,8.3,1.57,1.57,4.10,2.53,64.7,0.60,0.24,0.12,0.24,25.0,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/b90c4a43/Diant-Ramaj,b90c4a43,Eredivisie
17,Robin Roefs,NED,GK,NEC Nijmegen,20-356,2003,4,3,330,3.7,1.35,1.36,4.59,3.24,70.6,0.00,0.54,0.27,0.27,33.3,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/349fa918/Robin-Roefs,349fa918,Eredivisie
18,Eloy Room,CUW,GK,Vitesse,34-336,1989,16,16,1440,16.0,2.31,2.31,6.94,4.56,69.4,0.19,0.13,0.69,0.13,12.5,0.31,0.19,0.13,0.00,40.0,https://fbref.com/en/players/6b33d86b/Eloy-Room,6b33d86b,Eredivisie
