Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
179,Darius Johnson,GRN,"FW,MF",Volendam,23-299,2000,10,5,480,5.3,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.25,0.30,2.83,1.51,10.4,0.00,0.19,0.19,0.00,0.19,0.05,0.24,0.29,0.05,0.29,https://fbref.com/en/players/9f7f84be/Darius-Johnson,9f7f84be,Eredivisie
180,Miliano Jonathans,NED,"MF,FW",Vitesse,19-278,2004,6,0,92,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.10,0.40,7.00,5.00,7.00,0.00,0.00,0.00,0.00,0.00,0.35,0.05,0.40,0.35,0.40,https://fbref.com/en/players/32dd5ce9/Miliano-Jonathans,32dd5ce9,Eredivisie
181,Luuk de Jong,NED,FW,PSV Eindhoven,33-134,1990,16,16,1237,13.7,0.88,0.51,1.39,0.58,0.29,0.36,0.07,0.00,0.91,0.61,0.38,0.99,0.07,2.04,8.18,0.87,0.51,1.38,0.58,1.09,0.91,0.38,1.29,0.61,0.99,https://fbref.com/en/players/abb3bb95/Luuk-de-Jong,abb3bb95,Eredivisie
182,Mauro Júnior,BRA,MF,PSV Eindhoven,24-247,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/a29e5244/Mauro-Junior,a29e5244,Eredivisie
183,Ibrahim El Kadiri,NED,FW,Volendam,21-350,2002,4,0,79,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.11,0.22,0.33,7.78,4.44,11.1,0.00,0.00,0.00,0.00,0.00,0.15,0.17,0.33,0.15,0.33,https://fbref.com/en/players/1ec32b33/Ibrahim-El-Kadiri,1ec32b33,Eredivisie
184,Jochem van de Kamp,NED,"DF,MF",Almere City,20-067,2003,14,10,823,9.1,0.22,0.11,0.33,0.22,0.00,0.00,0.00,0.00,0.15,0.15,0.10,0.25,0.99,4.18,3.85,0.22,0.11,0.33,0.22,0.33,0.15,0.10,0.25,0.15,0.25,https://fbref.com/en/players/9d00bcd3/Jochem-van-de-Kamp,9d00bcd3,Eredivisie
185,Daniel Karlsbakk,NOR,"FW,MF",Heerenveen,20-276,2003,10,0,198,2.2,0.45,0.00,0.45,0.45,0.00,0.00,0.00,0.00,0.41,0.41,0.05,0.45,1.82,0.00,5.45,0.45,0.00,0.45,0.45,0.45,0.42,0.04,0.46,0.42,0.46,https://fbref.com/en/players/3cedae52/Daniel-Karlsbakk,3cedae52,Eredivisie
186,Souffian El Karouani,MAR,DF,Utrecht,23-081,2000,11,8,873,9.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,1.44,3.30,5.88,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.00,0.06,https://fbref.com/en/players/2e5a31cb/Souffian-El-Karouani,2e5a31cb,Eredivisie
187,Denso Kasius,NED,DF,AZ Alkmaar,21-094,2002,10,0,203,2.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.13,0.26,4.78,3.91,10.4,0.00,0.00,0.00,0.00,0.00,0.15,0.14,0.29,0.15,0.29,https://fbref.com/en/players/7ae36711/Denso-Kasius,7ae36711,Eredivisie
188,Sam Kersten,NED,DF,Zwolle,25-343,1998,16,16,1440,16.0,0.00,0.06,0.06,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.01,0.01,1.31,4.06,0.19,0.00,0.06,0.06,0.00,0.06,0.00,0.01,0.01,0.00,0.01,https://fbref.com/en/players/16ca1157/Sam-Kersten,16ca1157,Eredivisie
189,Yann Kitala,,FW,Almere City,25-274,1998,11,5,406,4.5,0.44,0.00,0.44,0.44,0.00,0.00,0.44,0.00,0.13,0.13,0.04,0.18,1.56,0.89,5.78,0.44,0.00,0.44,0.44,0.44,0.14,0.04,0.19,0.14,0.19,https://fbref.com/en/players/690f7a7b/Yann-Kitala,690f7a7b,Eredivisie
190,Joshua Kitolano,NOR,MF,Sparta R'dam,22-158,2001,16,16,1397,15.5,0.26,0.06,0.32,0.19,0.06,0.06,0.06,0.00,0.17,0.12,0.12,0.23,1.10,3.55,2.45,0.26,0.06,0.32,0.19,0.26,0.17,0.11,0.28,0.12,0.23,https://fbref.com/en/players/5186dfbf/Joshua-Kitolano,5186dfbf,Eredivisie
191,Mathias Kjølø,NOR,MF,Twente,22-195,2001,16,15,1112,12.4,0.00,0.00,0.00,0.00,0.00,0.00,0.16,0.00,0.02,0.02,0.06,0.09,0.56,5.48,0.56,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.09,0.02,0.09,https://fbref.com/en/players/4066ff66/Mathias-Kjolo,4066ff66,Eredivisie
192,Davy Klaassen,NED,MF,Ajax,30-321,1993,2,0,61,0.7,1.43,0.00,1.43,1.43,0.00,0.00,0.00,0.00,0.71,0.71,0.00,0.86,0.00,2.86,4.29,1.48,0.00,1.48,1.48,1.48,0.79,0.05,0.85,0.79,0.85,https://fbref.com/en/players/15fd5593/Davy-Klaassen,15fd5593,Eredivisie
193,Sean Klaiber,SUR,DF,Utrecht,29-161,1994,2,1,102,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,11.8,6.36,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/f4ceb85b/Sean-Klaiber,f4ceb85b,Eredivisie
194,Flip Klomp,NED,MF,Volendam,22-082,2001,2,0,36,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,5.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,https://fbref.com/en/players/26d759de/Flip-Klomp,26d759de,Eredivisie
195,Mats Köhlert,GER,DF,Heerenveen,25-251,1998,16,16,1440,16.0,0.00,0.13,0.13,0.00,0.00,0.00,0.19,0.00,0.02,0.02,0.19,0.20,2.94,3.63,6.50,0.00,0.12,0.12,0.00,0.12,0.02,0.18,0.20,0.02,0.20,https://fbref.com/en/players/3015d86e/Mats-Kohlert,3015d86e,Eredivisie
