Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-245,1990,11.5,3.74,3.74,2.96,0.17,0.26,0.26,0.00,0.09,0.43,0.43,0.43,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Paxten Aaronson,USA,MF,Vitesse,20-248,2003,11.0,3.55,3.55,2.18,0.45,0.27,0.55,0.09,0.00,0.36,0.36,0.18,0.00,0.09,0.09,0.00,0.00,https://fbref.com/en/players/4cd41883/Paxten-Aaronson,4cd41883,Eredivisie
3,Jayden Addai,NED,FW,AZ Alkmaar,18-248,2005,3.3,2.12,2.12,1.82,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
4,Bobby Adekanye,NED,FW,Go Ahead Eag,25-076,1999,18.4,3.48,3.48,2.34,0.00,0.49,0.27,0.38,0.00,0.60,0.60,0.33,0.00,0.16,0.05,0.05,0.00,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
5,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-306,2000,23.1,0.82,0.82,0.65,0.04,0.00,0.09,0.00,0.04,0.09,0.09,0.04,0.00,0.00,0.00,0.00,0.04,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
6,Nikolas Agrafiotis,NED,FW,Excelsior,24-005,2000,8.4,2.62,2.60,2.26,0.00,0.12,0.12,0.00,0.12,0.48,0.47,0.36,0.00,0.00,0.12,0.00,0.00,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
7,Chuba Akpom,ENG,"FW,MF",Ajax,28-204,1995,8.9,2.36,2.35,1.80,0.00,0.11,0.45,0.00,0.00,0.34,0.34,0.22,0.00,0.00,0.11,0.00,0.00,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
8,Hamdi Akujobi,NED,"DF,FW",Almere City,24-101,2000,14.3,1.96,1.96,1.68,0.07,0.07,0.07,0.07,0.00,0.28,0.28,0.28,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
9,Hussein Ali,IRQ,"DF,FW",Heerenveen,22-060,2002,7.8,1.41,1.41,1.15,0.00,0.00,0.13,0.13,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.13,0.00,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
10,Jordi Altena,NED,MF,Vitesse,20-148,2003,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
