Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-132,1990,10.2,53.3,62.9,84.7,875.4,265.3,25.3,28.2,89.6,21.9,25.9,84.5,4.31,5.49,78.6,0.10,0.19,0.24,-0.09,1.57,5.49,1.67,0.49,5.29,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Jayden Addai,GHA,FW,AZ Alkmaar,18-135,2005,0.7,17.1,25.7,66.7,248.6,78.6,7.14,10.0,71.4,5.71,5.71,100.0,1.43,2.86,50.0,0.00,0.00,0.00,0.00,1.43,2.86,0.00,0.00,4.29,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
3,Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,24-328,1999,7.4,15.4,21.5,71.7,230.3,64.7,9.59,11.4,84.5,4.05,5.54,73.2,1.35,2.70,50.0,0.27,0.20,0.11,0.07,1.35,1.08,0.41,0.14,1.62,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
4,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-193,2000,11.1,42.2,47.8,88.1,807.7,259.2,12.3,13.2,93.2,25.0,26.4,94.5,4.05,6.49,62.5,0.00,0.02,0.02,-0.02,0.18,3.33,0.18,0.00,4.05,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
5,Nikolas Agrafiotis,NED,FW,Excelsior,23-258,2000,8.1,13.3,21.9,61.0,186.7,29.4,8.15,12.0,68.0,4.07,5.80,70.2,0.49,1.23,40.0,0.12,0.15,0.14,-0.02,1.23,0.86,0.12,0.00,1.36,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
6,Chuba Akpom,ENG,"FW,MF",Ajax,28-091,1995,4.4,17.3,23.0,75.2,272.5,60.9,9.77,12.3,79.6,5.23,6.36,82.1,1.59,1.82,87.5,0.00,0.09,0.09,-0.09,1.36,2.05,1.14,0.00,4.32,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
7,Hamdi Akujobi,NED,"DF,MF",Almere City,23-353,2000,6.9,28.7,42.3,67.8,467.7,155.7,14.8,16.5,89.5,10.1,16.8,60.3,2.61,6.23,41.9,0.14,0.09,0.12,0.06,0.87,1.88,0.72,0.29,2.32,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
8,Hussein Ali,IRQ,DF,Heerenveen,21-313,2002,5.7,26.8,34.4,78.1,487.9,121.6,12.1,13.3,90.8,11.2,13.9,81.0,3.16,5.61,56.3,0.00,0.12,0.09,-0.12,0.53,1.23,0.53,0.35,2.11,https://fbref.com/en/players/b8a919ad/Hussein-Ali,b8a919ad,Eredivisie
9,Jordi Altena,NED,MF,Vitesse,20-035,2003,0.1,20.0,40.0,50.0,200.0,0.00,0.00,0.00,,10.0,30.0,33.3,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/25cfb552/Jordi-Altena,25cfb552,Eredivisie
10,Jaydon Amauri Banel,NED,"MF,FW",Ajax,19-081,2004,0.3,36.7,46.7,78.6,323.3,36.7,23.3,23.3,100.0,3.33,6.67,50.0,0.00,0.00,,0.00,0.33,0.00,-0.33,3.33,0.00,0.00,0.00,3.33,https://fbref.com/en/players/98e0d76c/Jaydon-Amauri-Banel,98e0d76c,Eredivisie
11,Pelle van Amersfoort,NED,FW,Heerenveen,27-282,1996,9.1,11.6,20.4,57.0,162.5,35.7,7.14,11.2,63.7,3.85,6.81,56.5,0.33,0.55,60.0,0.00,0.08,0.04,-0.08,0.44,1.43,0.11,0.00,1.65,https://fbref.com/en/players/8cef2308/Pelle-van-Amersfoort,8cef2308,Eredivisie
12,Jamal Amofa,NED,DF,Go Ahead Eag,25-044,1998,12.5,33.9,41.2,82.3,647.7,323.5,12.7,13.5,94.1,16.6,19.0,87.3,4.24,7.84,54.1,0.00,0.02,0.04,-0.02,0.40,5.04,0.56,0.00,4.72,https://fbref.com/en/players/ec3e9827/Jamal-Amofa,ec3e9827,Eredivisie
13,Augustin Anello,BEL,"FW,MF",Sparta R'dam,21-261,2002,2.5,24.8,40.0,62.0,453.6,142.8,12.8,16.4,78.0,8.00,14.4,55.6,3.60,7.60,47.4,0.00,0.04,0.36,-0.04,0.80,1.20,1.20,0.80,2.00,https://fbref.com/en/players/c16ab6bc/Augustin-Anello,c16ab6bc,Eredivisie
