Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,Patrick van Aanholt,NED,DF,PSV Eindhoven,33-132,1990,13,915,70,63.5,10.2,0.88,86,0.78,0.39,35,0.29,3.00,3.14,0.39,2.75,+2.75,-1.02,3.19,0.88,2.31,+2.32,-0.18,https://fbref.com/en/players/5f09991f/Patrick-van-Aanholt,5f09991f,Eredivisie
2,Jayden Addai,GHA,FW,AZ Alkmaar,18-135,2005,2,67,34,4.7,0.7,0.00,,0.00,2.86,34,2.86,3.00,4.29,1.43,2.86,+2.69,+1.44,2.71,0.43,2.29,+2.21,+1.49,https://fbref.com/en/players/662ffe3d/Jayden-Addai,662ffe3d,Eredivisie
3,Bobby Adekanye,NED,"FW,MF",Go Ahead Eag,24-328,1999,12,662,55,46.0,7.4,1.22,65,0.14,0.41,25,0.00,1.50,1.62,1.49,0.14,+0.14,-0.10,1.09,1.88,-0.80,-0.80,-0.53,https://fbref.com/en/players/3ed84b2c/Bobby-Adekanye,3ed84b2c,Eredivisie
4,Shawn Adewoye,BEL,DF,RKC Waalwijk,23-193,2000,13,998,77,69.3,11.1,0.99,86,0.90,0.18,27,0.18,1.08,1.17,1.44,-0.27,-0.27,+1.77,1.07,1.34,-0.27,-0.27,+0.21,https://fbref.com/en/players/be98fc34/Shawn-Adewoye,be98fc34,Eredivisie
5,Olivier Aertssen,NED,DF,Ajax,19-154,2004,0,,,,,0,,0,0,,3,,,,,,,,,,,,https://fbref.com/en/players/69bff230/Olivier-Aertssen,69bff230,Eredivisie
6,Nikolas Agrafiotis,NED,FW,Excelsior,23-258,2000,16,731,46,50.8,8.1,1.23,65,0.00,0.74,14,0.00,1.06,1.85,1.36,0.49,+0.49,+1.63,1.38,1.35,0.04,+0.04,+0.96,https://fbref.com/en/players/72a63c0b/Nikolas-Agrafiotis,72a63c0b,Eredivisie
7,Chuba Akpom,ENG,"FW,MF",Ajax,28-091,1995,12,392,33,27.2,4.4,0.68,73,0.23,2.05,19,0.45,1.50,3.18,1.59,1.59,+1.61,+1.78,2.91,1.86,1.05,+1.05,+0.87,https://fbref.com/en/players/e2b384d2/Chuba-Akpom,e2b384d2,Eredivisie
8,Hamdi Akujobi,NED,"DF,MF",Almere City,23-353,2000,8,623,78,43.3,6.9,1.16,78,0.58,0.00,,0.00,0.88,0.87,2.32,-1.45,-1.44,-0.78,1.26,1.87,-0.61,-0.61,-0.01,https://fbref.com/en/players/0b524c25/Hamdi-Akujobi,0b524c25,Eredivisie
9,Norbert Alblas,NED,GK,Excelsior,29-027,1994,0,,,,,0,,0,0,,16,,,,,,,,,,,,https://fbref.com/en/players/e3af40a2/Norbert-Alblas,e3af40a2,Eredivisie
10,Pedro Alemañ,ESP,MF,Sparta R'dam,21-293,2002,0,,,,,0,,0,0,,11,,,,,,,,,,,,https://fbref.com/en/players/f0ac14b1/Pedro-Aleman,f0ac14b1,Eredivisie
