Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Carlos Acevedo,MEX,GK,Santos,27-264,1996,6,6,540,6.0,2.00,2.00,5.83,3.83,68.6,0.50,0.00,0.50,0.17,16.7,0.17,0.17,0.00,0.00,0.0,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
2,Guillermo Allison,MEX,GK,Querétaro,33-105,1990,12,12,1080,12.0,1.42,1.42,5.92,4.58,80.3,0.33,0.25,0.42,0.33,33.3,0.25,0.25,0.00,0.00,0.0,https://fbref.com/en/players/3438600c/Guillermo-Allison,3438600c,Liga MX
3,Esteban Andrada,ARG,GK,Monterrey,32-347,1991,16,16,1440,16.0,0.94,0.94,3.94,2.94,81.0,0.63,0.13,0.25,0.38,37.5,0.25,0.19,0.06,0.00,25.0,https://fbref.com/en/players/775d365e/Esteban-Andrada,775d365e,Liga MX
4,Luis Ángel Malagón,MEX,GK,América,26-312,1997,14,14,1215,13.5,0.81,0.81,2.67,1.85,69.4,0.74,0.30,0.00,0.44,42.9,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
5,José Antonio Rodríguez,MEX,GK,Tijuana,31-188,1992,14,14,1260,14.0,1.50,1.50,5.07,3.57,70.4,0.36,0.07,0.57,0.14,14.3,0.07,0.00,0.07,0.00,100.0,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
6,Alfonso Blanco Antúnez,MEX,GK,León,36-161,1987,1,1,90,1.0,1.00,1.00,4.00,3.00,75.0,1.00,0.00,0.00,0.00,0.0,1.00,0.00,0.00,1.00,,https://fbref.com/en/players/dce4c80e/Alfonso-Blanco-Antunez,dce4c80e,Liga MX
7,Luis Cárdenas,MEX,GK,Monterrey,30-115,1993,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,0.00,1.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a1dea252/Luis-Cardenas,a1dea252,Liga MX
8,José Corona,MEX,GK,Tijuana,42-347,1981,3,3,270,3.0,1.67,1.67,4.67,3.00,71.4,0.33,0.33,0.33,0.00,0.0,0.33,0.33,0.00,0.00,0.0,https://fbref.com/en/players/e39a7e9c/Jose-Corona,e39a7e9c,Liga MX
9,Rodolfo Cota,MEX,GK,León,36-189,1987,16,16,1440,16.0,1.31,1.31,3.44,2.19,65.5,0.31,0.31,0.38,0.25,25.0,0.13,0.13,0.00,0.00,0.0,https://fbref.com/en/players/a4a5868e/Rodolfo-Cota,a4a5868e,Liga MX
10,Carlos Felipe Rodríguez,MEX,GK,UANL,34-280,1989,1,1,90,1.0,0.00,0.00,3.00,3.00,100.0,0.00,1.00,0.00,1.00,100.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/ce239870/Carlos-Felipe-Rodriguez,ce239870,Liga MX
