Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
478,Jorge Rodríguez,MEX,DF,Toluca,20,2001,3.2,35.6,45.9,77.6,583.4,211.3,18.1,20.6,87.9,13.8,16.3,84.6,2.81,5.31,52.9,0.00,0.03,0.13,-0.03,0.31,1.56,0.31,0.31,1.88,https://fbref.com/en/players/c3090d78/Jorge-Rodriguez,c3090d78,Liga MX
479,Lucas Rodríguez,ARG,MF,Tijuana,25,1997,21.2,30.4,37.6,80.7,529.2,169.2,13.9,15.7,88.6,12.3,14.2,87.0,3.35,5.52,60.7,0.14,0.15,0.13,-0.00,1.79,4.53,1.04,0.14,6.56,https://fbref.com/en/players/815f4240/Lucas-Rodriguez,815f4240,Liga MX
480,Michell Rodríguez,MEX,FW,Monterrey,21,2000,0.0,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/5250e871/Michell-Rodriguez,5250e871,Liga MX
481,Gabriel Rojas,ARG,DF,Querétaro,25,1997,18.2,27.7,40.3,68.9,538.3,219.6,11.5,13.0,89.0,11.7,15.9,73.7,4.07,9.34,43.5,0.16,0.11,0.14,0.05,1.15,2.03,1.10,0.88,2.53,https://fbref.com/en/players/79ad7358/Gabriel-Rojas,79ad7358,Liga MX
482,Diego Rolán,URU,"MF,FW",FC Juárez,29,1993,0.9,31.1,40.0,77.8,443.3,110.0,21.1,23.3,90.5,8.89,14.4,61.5,1.11,2.22,50.0,0.00,0.11,0.00,-0.11,2.22,4.44,1.11,0.00,5.56,https://fbref.com/en/players/d1491e00/Diego-Rolan,d1491e00,Liga MX
483,Juan Romagnoli,ARG,"MF,FW",Querétaro,26,1996,3.5,18.6,28.0,66.3,370.0,153.7,9.14,10.6,86.5,5.71,10.0,57.1,3.71,6.86,54.2,0.29,0.17,0.14,0.11,2.00,1.71,2.29,2.00,2.29,https://fbref.com/en/players/f7b6ea32/Juan-Romagnoli,f7b6ea32,Liga MX
484,Ángel Romero,PAR,"MF,FW",Cruz Azul,30,1992,8.5,32.9,47.1,70.0,610.8,183.8,14.6,18.2,80.0,12.1,15.5,78.0,5.06,8.35,60.6,0.12,0.12,0.12,0.00,1.88,4.71,0.94,0.24,6.82,https://fbref.com/en/players/36edfb9b/Angel-Romero,36edfb9b,Liga MX
485,Braian Romero,ARG,"FW,MF",Tijuana,31,1991,8.0,16.5,23.9,69.1,233.0,48.0,8.25,11.1,74.2,5.88,7.75,75.8,0.88,1.25,70.0,0.00,0.07,0.06,-0.07,0.88,1.13,0.50,0.00,1.75,https://fbref.com/en/players/c5cc3130/Braian-Romero,c5cc3130,Liga MX
486,Lucas Romero,ARG,MF,León,28,1994,12.0,42.8,53.4,80.2,744.8,265.2,20.8,23.8,87.4,16.3,19.3,84.4,4.50,7.08,63.5,0.08,0.10,0.08,-0.02,1.92,5.33,0.92,0.33,6.67,https://fbref.com/en/players/d89e48b8/Lucas-Romero,d89e48b8,Liga MX
487,Luis Romo,MEX,MF,Monterrey,27,1995,29.6,38.7,48.1,80.4,705.4,247.7,17.1,19.6,87.2,16.6,18.9,87.7,4.36,6.89,63.2,0.14,0.12,0.13,0.02,1.72,5.00,1.22,0.27,6.39,https://fbref.com/en/players/e590bb10/Luis-Romo,e590bb10,Liga MX
