Rk,Player,Nation,Pos,Squad,Age,Born,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Player Link_,Player ID_,Competition
47,Jesús Angulo,MEX,MF,León,25,1997,1.7,0.00,1.18,0.59,50.0,1.15,0.58,0.00,0.00,20.8,0.00,0.00,0.00,0.06,0.06,0.06,-0.06,-0.06,https://fbref.com/en/players/c219b86b/Jesus-Angulo,c219b86b,Liga MX
48,Francisco Antonio Figueroa,MEX,"FW,MF",Pachuca,23,1999,5.6,0.00,2.50,1.07,42.9,2.50,1.07,0.00,0.00,21.9,0.00,0.00,0.00,0.11,0.11,0.04,-0.11,-0.11,https://fbref.com/en/players/274d5b09/Francisco-Antonio-Figueroa,274d5b09,Liga MX
49,Francisco Antonio Figueroa,MEX,"MF,FW",Querétaro,23,1999,0.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/274d5b09/Francisco-Antonio-Figueroa,274d5b09,Liga MX
50,Jorge Antonio Padilla,MEX,DF,Mazatlán,28,1993,12.9,0.00,0.54,0.00,0.0,0.54,0.00,0.00,,20.9,0.00,0.00,0.00,0.04,0.04,0.06,-0.04,-0.04,https://fbref.com/en/players/4fec10af/Jorge-Antonio-Padilla,4fec10af,Liga MX
51,José Antonio Rodríguez,MEX,GK,Tijuana,30,1992,17.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
52,José Antonio Rodríguez,MEX,GK,Querétaro,30,1992,8.0,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
53,Uriel Antuna,MEX,"FW,MF",Cruz Azul,24,1997,28.9,0.28,1.28,0.45,35.1,1.28,0.45,0.22,0.62,16.4,0.00,0.00,0.00,0.15,0.15,0.12,0.12,0.12,https://fbref.com/en/players/a35f5848/Uriel-Antuna,a35f5848,Liga MX
54,Javier Aquino,MEX,"DF,FW",UANL,32,1990,21.4,0.00,0.70,0.19,26.7,0.70,0.19,0.00,0.00,23.7,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,https://fbref.com/en/players/215104cc/Javier-Aquino,215104cc,Liga MX
55,Pedro Aquino,PER,MF,América,27,1995,9.3,0.00,0.75,0.22,28.6,0.75,0.22,0.00,0.00,26.7,0.00,0.00,0.00,0.02,0.02,0.03,-0.02,-0.02,https://fbref.com/en/players/c4bfc6c5/Pedro-Aquino,c4bfc6c5,Liga MX
56,Cristian Arango,COL,"FW,MF",Pachuca,27,1995,5.3,0.75,3.96,1.89,47.6,3.93,1.87,0.10,0.20,19.4,0.38,0.38,0.38,0.66,0.36,0.09,0.09,0.02,https://fbref.com/en/players/fea9401e/Cristian-Arango,fea9401e,Liga MX
