Rk,Player,Nation,Pos,Squad,Age,Born,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,20.9,2.34,1.20,1.53,0.72,0.10,1.34,2.49,53.8,1.15,1.20,0.48,0.72,1.20,3.54,2.73,0.00,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,6.5,2.92,1.69,1.23,1.69,0.00,0.62,2.46,25.0,1.85,0.92,0.31,0.62,1.54,4.46,0.31,0.00,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,10.0,0.60,0.40,0.20,0.40,0.00,0.40,0.70,57.1,0.30,1.20,0.80,0.40,0.80,1.40,3.60,0.10,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.03,0.03,0.39,0.06,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,11.2,3.04,1.70,0.80,2.05,0.18,1.52,3.13,48.6,1.61,1.16,0.36,0.80,1.52,4.55,1.52,0.00,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
6,Washington Aguerre,URU,GK,Querétaro,29,1993,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.11,0.00,0.11,0.00,0.00,0.89,0.33,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
7,Eduardo Águila,MEX,DF,Atlético,20,2002,2.4,3.33,2.08,2.50,0.83,0.00,1.25,1.67,75.0,0.42,0.42,0.42,0.00,0.00,3.33,4.58,0.42,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
8,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,7.9,2.66,1.77,1.01,1.52,0.13,1.14,1.90,60.0,0.76,1.14,0.89,0.25,0.51,3.16,2.41,0.00,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
9,Manuel Aguilar,MEX,DF,UANL,19,2003,0.5,2.00,2.00,2.00,0.00,0.00,2.00,4.00,50.0,2.00,2.00,2.00,0.00,0.00,2.00,0.00,0.00,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
10,Emanuel Aguilera,ARG,DF,Atlas,33,1989,11.5,1.04,0.43,0.70,0.26,0.09,0.78,1.48,52.9,0.70,0.70,0.52,0.17,1.22,2.26,3.65,0.17,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
