Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,20.9,1.72,1.72,1.20,0.43,0.05,0.05,0.00,0.00,0.19,0.19,0.10,0.05,0.00,0.05,0.00,0.00,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,6.5,4.31,4.34,3.54,0.31,0.31,0.00,0.15,0.00,0.31,0.31,0.00,0.31,0.00,0.00,0.00,0.00,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,10.0,0.40,0.40,0.30,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33.0,0.24,0.24,0.18,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,11.2,2.14,2.14,1.79,0.00,0.00,0.27,0.00,0.09,0.09,0.09,0.09,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
6,Washington Aguerre,URU,GK,Querétaro,29,1993,9.0,0.44,0.44,0.33,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
7,Eduardo Águila,MEX,DF,Atlético,20,2002,2.4,1.25,1.25,0.83,0.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
8,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,7.9,2.03,2.03,1.39,0.13,0.13,0.00,0.13,0.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
9,Manuel Aguilar,MEX,DF,UANL,19,2003,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
10,Emanuel Aguilera,ARG,DF,Atlas,33,1989,11.5,0.70,0.70,0.61,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
11,Eduardo Aguirre,MEX,FW,Santos,23,1998,12.7,2.91,2.91,1.97,0.00,0.31,0.24,0.31,0.08,0.47,0.47,0.24,0.00,0.16,0.08,0.00,0.00,https://fbref.com/en/players/61088de3/Eduardo-Aguirre,61088de3,Liga MX
