Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,28,22,1885,20.9,0.00,0.05,0.05,0.00,0.00,0.00,0.19,0.00,0.01,0.01,0.03,0.05,0.77,3.88,3.35,0.00,0.05,0.05,0.00,0.05,0.02,0.04,0.05,0.02,0.05,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,21,3,583,6.5,0.15,0.31,0.46,0.15,0.00,0.00,0.15,0.00,0.06,0.06,0.09,0.15,2.15,4.92,4.31,0.15,0.31,0.46,0.15,0.46,0.06,0.09,0.15,0.06,0.15,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,12,10,902,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.02,0.02,0.00,0.02,0.40,1.50,0.50,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33,33,2970,33.0,0.03,0.00,0.03,0.03,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,18,11,1009,11.2,0.18,0.09,0.27,0.18,0.00,0.00,0.18,0.00,0.08,0.08,0.06,0.14,0.09,4.11,0.80,0.18,0.09,0.27,0.18,0.27,0.08,0.07,0.14,0.08,0.14,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
6,Washington Aguerre,URU,GK,Querétaro,29,1993,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
7,Eduardo Águila,MEX,DF,Atlético,20,2002,5,2,216,2.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08,0.00,2.92,0.42,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.08,0.08,0.08,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
8,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,17,6,710,7.9,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.00,0.05,0.05,0.01,0.08,1.39,2.53,2.66,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
9,Manuel Aguilar,MEX,DF,UANL,19,2003,1,0,45,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
10,Emanuel Aguilera,ARG,DF,Atlas,33,1989,15,12,1033,11.5,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.00,0.03,0.03,0.01,0.04,0.43,3.48,0.35,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.05,0.04,0.05,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
