Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
93,Kevin Castaño,COL,MF,Cruz Azul,23-101,2000,8.5,69.4,1.18,12.2,48.8,9.06,0.35,69.4,0.59,0.47,80.0,0.12,20.0,41.6,209.2,98.1,1.18,1.06,0.12,1.53,1.06,51.4,1.53,https://fbref.com/en/players/c393c3d9/Kevin-Castano,c393c3d9,Liga MX
94,Byron Castillo,ECU,DF,Pachuca,25-059,1998,7.3,63.0,3.15,14.5,30.0,19.0,0.96,63.0,3.15,0.82,26.1,1.51,47.8,30.8,148.8,70.4,2.19,1.78,0.27,1.92,1.10,35.1,6.16,https://fbref.com/en/players/7caf162d/Byron-Castillo,7caf162d,Liga MX
95,Moises Castillo,COL,DF,FC Juárez,22-229,2001,13.0,61.0,7.15,35.5,24.4,1.54,0.69,61.0,1.23,0.62,50.0,0.62,50.0,36.5,171.8,84.3,0.54,0.31,0.15,0.77,0.46,38.5,0.23,https://fbref.com/en/players/0057a058/Moises-Castillo,0057a058,Liga MX
96,José Castillo Pérez,MEX,DF,Pachuca,22-037,2001,8.3,75.2,3.61,19.2,36.9,19.8,2.41,75.2,0.84,0.24,28.6,0.60,71.4,37.1,199.0,104.6,2.41,1.93,0.60,0.96,0.84,38.9,4.82,https://fbref.com/en/players/24bf30ba/Jose-Castillo-Perez,24bf30ba,Liga MX
97,Lucas Cavallini,CAN,"FW,MF",Tijuana,31-011,1992,4.2,36.9,0.71,1.90,13.1,23.1,6.90,36.9,2.86,0.71,25.0,2.14,75.0,22.9,142.9,36.2,1.67,1.19,1.19,5.00,2.14,29.8,7.38,https://fbref.com/en/players/dd8de641/Lucas-Cavallini,dd8de641,Liga MX
98,Alan Cervantes,MEX,MF,Santos,25-356,1998,15.4,48.1,2.34,8.31,30.5,9.74,0.91,48.1,1.56,0.91,58.3,0.45,29.2,25.1,123.6,60.6,1.23,1.04,0.06,1.56,0.45,29.7,1.88,https://fbref.com/en/players/7a0c3b15/Alan-Cervantes,7a0c3b15,Liga MX
99,Luís Cervantes,MEX,DF,León,22-333,2001,0.4,102.5,0.00,20.0,45.0,37.5,0.00,102.5,2.50,2.50,100.0,0.00,0.0,40.0,205.0,135.0,2.50,5.00,0.00,5.00,5.00,52.5,12.5,https://fbref.com/en/players/1fd490ef/Luis-Cervantes,1fd490ef,Liga MX
100,Jhon Chancellor,VEN,DF,Necaxa,32-006,1992,4.3,47.0,8.14,27.9,18.1,1.40,0.23,47.0,0.23,0.00,0.0,0.23,100.0,20.7,121.9,71.6,0.47,0.23,0.00,0.93,0.47,20.7,0.23,https://fbref.com/en/players/84b6acaa/Jhon-Chancellor,84b6acaa,Liga MX
101,Diego Chávez Collins,MEX,"FW,MF",FC Juárez,28-242,1995,10.0,39.0,2.00,7.20,16.5,15.6,3.60,39.0,1.80,1.00,55.6,0.80,44.4,19.4,88.0,39.0,1.40,0.90,0.50,1.90,1.00,22.0,5.50,https://fbref.com/en/players/3e2406b1/Diego-Chavez-Collins,3e2406b1,Liga MX
102,Ricardo Chávez Soto,MEX,DF,Atlético,29-050,1994,14.8,69.8,4.46,21.4,29.7,19.3,2.70,69.8,1.28,0.74,57.9,0.47,36.8,33.9,179.2,93.5,2.30,1.76,0.20,0.95,1.15,44.4,6.76,https://fbref.com/en/players/2229c165/Ricardo-Chavez-Soto,2229c165,Liga MX
