Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,28,1885,67,61.6,20.9,1.05,82,0.53,0.29,14,0.29,1.10,1.10,1.63,-0.53,-0.53,-0.91,1.17,1.24,-0.07,-0.06,-0.18,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,21,583,28,19.1,6.5,0.46,61,0.00,2.77,22,1.23,0.67,2.00,1.54,0.46,+0.46,+1.37,1.75,1.26,0.49,+0.50,+1.03,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,12,902,75,29.5,10.0,1.00,86,0.80,0.20,23,0.20,1.20,1.20,2.40,-1.20,-1.20,-1.32,1.09,1.46,-0.37,-0.37,-0.42,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33,2970,90,97.1,33.0,1.00,90,1.00,0.00,,0.00,1.43,1.79,1.67,0.12,+0.12,+1.12,1.53,1.43,0.10,+0.10,-0.52,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Daniel Aceves,MEX,DF,Pachuca,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,https://fbref.com/en/players/4ab21ca4/Daniel-Aceves,4ab21ca4,Liga MX
6,Gilberto Adame,MEX,MF,Mazatlán,17,2004,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/b366fe11/Gilberto-Adame,b366fe11,Liga MX
7,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,18,1009,56,33.0,11.2,0.98,81,0.71,0.63,17,0.18,1.95,1.52,1.07,0.45,+0.45,+0.14,1.19,1.26,-0.07,-0.07,-0.38,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
8,Washington Aguerre,URU,GK,Querétaro,29,1993,9,810,90,26.5,9.0,1.00,90,1.00,0.00,,0.89,0.33,1.00,2.33,-1.33,-1.33,-0.93,1.06,1.37,-0.31,-0.31,+0.03,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
9,Eduardo Águila,MEX,DF,Atlético,20,2002,5,216,43,7.1,2.4,0.83,80,0.00,1.25,19,3.75,2.00,0.83,0.42,0.42,+0.42,+0.86,1.25,1.33,-0.08,-0.08,+0.47,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
10,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,17,710,42,23.2,7.9,0.76,69,0.00,1.39,27,1.27,0.95,1.01,2.28,-1.27,-1.27,-1.50,1.23,1.41,-0.18,-0.18,+0.08,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
11,Manuel Aguilar,MEX,DF,UANL,19,2003,1,45,45,1.5,0.5,0.00,,0.00,2.00,45,2.00,0.00,0.00,2.00,-2.00,-2.00,-2.42,1.00,0.40,0.60,+0.56,+0.14,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
12,Emanuel Aguilera,ARG,DF,Atlas,33,1989,15,1033,69,33.8,11.5,1.04,83,0.78,0.26,11,0.17,0.87,0.78,1.57,-0.78,-0.78,-0.92,0.96,1.15,-0.19,-0.19,-0.30,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
13,Eduardo Aguirre,MEX,FW,Santos,23,1998,19,1145,60,37.4,12.7,1.18,70,0.16,0.31,25,0.08,1.50,2.28,1.10,1.18,+1.18,+1.74,1.39,1.27,0.13,+0.13,+0.02,https://fbref.com/en/players/61088de3/Eduardo-Aguirre,61088de3,Liga MX
14,Érick Aguirre,MEX,DF,Monterrey,25,1997,22,1400,64,45.8,15.6,1.09,79,0.77,0.32,11,0.26,2.00,2.18,1.15,1.03,+1.03,-0.11,1.83,1.07,0.76,+0.76,+0.08,https://fbref.com/en/players/06dddd9e/Erick-Aguirre,06dddd9e,Liga MX
15,Gaddi Aguirre,MEX,DF,Atlas,26,1996,20,1419,71,46.4,15.8,0.95,88,0.76,0.32,20,0.89,1.22,1.14,1.20,-0.06,-0.06,+0.21,1.11,1.25,-0.13,-0.13,-0.26,https://fbref.com/en/players/a566d3a2/Gaddi-Aguirre,a566d3a2,Liga MX
16,Rodrigo Aguirre,URU,"FW,MF",Monterrey,27,1994,30,2010,67,65.7,22.3,0.99,82,0.36,0.36,25,0.04,2.00,1.84,0.81,1.03,+1.03,-0.17,1.64,0.96,0.68,+0.68,-0.10,https://fbref.com/en/players/b5691f5d/Rodrigo-Aguirre,b5691f5d,Liga MX
17,Manuel Agustín Duarte,ARG,MF,Querétaro,20,2001,10,417,42,13.6,4.6,0.87,63,0.00,1.30,28,1.52,1.10,0.87,0.87,0.00,0.00,+0.75,1.09,1.39,-0.30,-0.31,+0.03,https://fbref.com/en/players/be50f4be/Manuel-Agustin-Duarte,be50f4be,Liga MX
18,Arnaud Ake,CIV,FW,Mazatlán,24,1998,12,771,64,25.2,8.6,0.93,78,0.35,0.47,36,0.00,0.58,1.51,2.21,-0.70,-0.70,+0.20,0.95,1.72,-0.77,-0.77,+0.08,https://fbref.com/en/players/3402bb17/Arnaud-Ake,3402bb17,Liga MX
19,Edgar Alaffita,MEX,MF,UNAM,25,1996,2,125,63,4.1,1.4,1.43,63,0.00,0.00,,1.43,1.50,0.00,2.14,-2.14,-2.16,-1.70,1.29,2.00,-0.64,-0.67,-0.67,https://fbref.com/en/players/e09561fc/Edgar-Alaffita,e09561fc,Liga MX
20,Oswaldo Alanís,MEX,DF,Mazatlán,33,1989,22,1723,78,56.3,19.1,0.99,83,0.79,0.16,46,0.21,1.00,1.36,1.62,-0.26,-0.26,+1.35,0.99,1.58,-0.59,-0.59,+0.55,https://fbref.com/en/players/e97787d9/Oswaldo-Alanis,e97787d9,Liga MX
21,Ricardo Alba,MEX,FW,Atlético,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,https://fbref.com/en/players/6a686827/Ricardo-Alba,6a686827,Liga MX
22,Jesús Alberto Angulo,MEX,DF,UANL,24,1998,32,2632,82,86.0,29.2,1.03,86,0.89,0.07,23,0.00,1.68,1.34,0.79,0.55,+0.55,+1.18,1.48,0.89,0.59,+0.59,+1.17,https://fbref.com/en/players/2a8638ec/Jesus-Alberto-Angulo,2a8638ec,Liga MX
23,Gil Alcalá,MEX,GK,Querétaro,30,1992,17,1530,90,50.0,17.0,1.00,90,1.00,0.00,,0.00,1.18,0.94,1.24,-0.29,-0.29,+0.71,0.98,1.39,-0.41,-0.41,-0.16,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
24,Gil Alcalá,MEX,GK,UNAM,30,1992,2,180,90,5.9,2.0,1.00,90,1.00,0.00,,7.50,0.50,1.00,2.00,-1.00,-1.00,-0.50,0.55,1.05,-0.50,-0.51,-0.51,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
25,Adrián Aldrete,MEX,DF,UNAM,34,1988,18,1437,80,47.0,16.0,1.13,80,0.63,0.00,,0.25,1.06,1.38,1.75,-0.38,-0.38,+0.29,1.27,1.40,-0.13,-0.12,-0.18,https://fbref.com/en/players/cd5453d5/Adrian-Aldrete,cd5453d5,Liga MX
26,Daniel Alexis Parra,MEX,"DF,MF",Necaxa,23,1999,5,145,29,4.7,1.6,0.63,90,0.63,2.50,14,7.50,1.40,1.88,1.25,0.63,+0.62,+1.11,1.06,1.13,-0.06,-0.05,+0.46,https://fbref.com/en/players/b4daf602/Daniel-Alexis-Parra,b4daf602,Liga MX
27,Luis Alfonso Rodríguez,MEX,"DF,MF",FC Juárez,31,1991,16,1346,84,44.0,15.0,1.07,84,0.67,0.00,,0.00,0.88,1.00,1.47,-0.47,-0.47,-0.36,1.09,1.47,-0.39,-0.38,-0.23,https://fbref.com/en/players/125d6bed/Luis-Alfonso-Rodriguez,125d6bed,Liga MX
28,Luis Alfonso Rodríguez,MEX,DF,UANL,31,1991,3,125,42,4.1,1.4,0.00,,0.00,2.14,42,3.57,1.75,1.43,0.71,0.71,+0.72,+0.35,1.79,1.43,0.36,+0.36,-0.07,https://fbref.com/en/players/125d6bed/Luis-Alfonso-Rodriguez,125d6bed,Liga MX
29,David Alfredo Andrade,MEX,"MF,DF",Atlético,29,1993,10,276,28,9.0,3.1,0.32,83,0.00,2.90,21,2.26,0.50,0.65,2.90,-2.26,-2.28,-2.09,1.10,2.68,-1.58,-1.61,-1.21,https://fbref.com/en/players/ebec4405/David-Alfredo-Andrade,ebec4405,Liga MX
30,Facundo Almada,ARG,DF,Mazatlán,24,1998,14,1116,80,36.5,12.4,0.97,86,0.81,0.16,45,0.00,0.50,1.13,2.18,-1.05,-1.05,-0.31,0.94,1.90,-0.97,-0.97,-0.23,https://fbref.com/en/players/cd60f3ce/Facundo-Almada,cd60f3ce,Liga MX
31,Carlos Alonso Vargas,MEX,DF,Cruz Azul,23,1999,1,15,15,0.5,0.2,5.00,15,0.00,0.00,,5.00,0.00,0.00,0.00,0.00,0.00,+0.27,0.00,0.00,0.00,-0.23,-0.16,https://fbref.com/en/players/20974b8a/Carlos-Alonso-Vargas,20974b8a,Liga MX
32,Carlos Alonso Vargas,MEX,DF,Mazatlán,23,1999,13,930,72,30.4,10.3,1.17,74,0.58,0.10,45,0.19,0.85,1.17,1.75,-0.58,-0.58,+0.39,0.88,1.51,-0.63,-0.63,+0.28,https://fbref.com/en/players/20974b8a/Carlos-Alonso-Vargas,20974b8a,Liga MX
