Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,José Abella,MEX,"DF,MF",Atlas,28,1994,20.9,54.1,2.97,15.0,25.8,13.7,0.72,54.1,0.53,0.19,36.4,0.33,63.6,21.8,81.1,43.2,0.77,0.67,0.14,0.67,0.19,26.5,3.35,https://fbref.com/en/players/93f24791/Jose-Abella,93f24791,Liga MX
2,Clifford Aboagye,GHA,MF,Querétaro,27,1995,6.5,57.5,1.23,10.9,33.8,14.6,0.62,57.5,2.46,1.54,62.5,0.92,37.5,36.2,212.6,105.5,2.15,2.31,0.00,2.00,1.08,37.1,4.31,https://fbref.com/en/players/8ee9191e/Clifford-Aboagye,8ee9191e,Liga MX
3,Luis Abram,PER,DF,Cruz Azul,26,1996,10.0,42.8,5.50,23.4,17.1,2.40,0.50,42.8,0.10,0.10,100.0,0.00,0.0,23.5,121.7,81.0,0.40,0.40,0.00,0.80,0.00,27.3,0.50,https://fbref.com/en/players/1f462f95/Luis-Abram,1f462f95,Liga MX
4,Carlos Acevedo,MEX,GK,Santos,26,1996,33.0,31.8,27.8,31.7,0.06,0.06,0.06,31.8,0.00,0.00,,0.00,,13.2,77.6,53.2,0.00,0.00,0.00,0.06,0.00,8.70,0.00,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
5,Sergio Adrián Flores,MEX,MF,Guadalajara,27,1995,11.2,57.4,3.57,16.3,37.4,4.11,1.07,57.4,0.18,0.09,50.0,0.09,50.0,22.7,107.1,48.8,0.09,0.45,0.00,0.63,0.09,31.5,0.80,https://fbref.com/en/players/b8776065/Sergio-Adrian-Flores,b8776065,Liga MX
6,Washington Aguerre,URU,GK,Querétaro,29,1993,9.0,32.7,29.2,32.6,0.11,0.00,0.00,32.7,0.22,0.22,100.0,0.00,0.0,14.9,78.4,46.4,0.00,0.00,0.00,0.11,0.00,10.8,0.00,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
7,Eduardo Águila,MEX,DF,Atlético,20,2002,2.4,62.9,6.25,23.8,33.8,5.83,0.83,62.9,0.00,0.00,,0.00,,21.3,86.7,47.1,0.00,0.42,0.00,0.42,0.83,28.3,0.42,https://fbref.com/en/players/723496a4/Eduardo-Aguila,723496a4,Liga MX
8,Daniel Aguilar,MEX,"DF,MF",Puebla,24,1998,7.9,57.5,3.80,16.6,29.5,11.9,0.51,57.5,0.89,0.51,57.1,0.38,42.9,25.8,128.2,60.0,1.39,1.52,0.00,1.65,0.25,32.0,2.66,https://fbref.com/en/players/cb98d15d/Daniel-Aguilar,cb98d15d,Liga MX
9,Manuel Aguilar,MEX,DF,UANL,19,2003,0.5,40.0,2.00,26.0,16.0,0.00,0.00,40.0,0.00,0.00,,0.00,,22.0,92.0,58.0,0.00,0.00,0.00,0.00,0.00,26.0,0.00,https://fbref.com/en/players/49674dfa/Manuel-Aguilar,49674dfa,Liga MX
10,Emanuel Aguilera,ARG,DF,Atlas,33,1989,11.5,56.3,5.65,24.3,30.9,1.65,0.52,56.3,0.35,0.35,100.0,0.00,0.0,27.1,125.0,75.4,0.43,0.17,0.00,0.35,0.35,34.3,0.35,https://fbref.com/en/players/fc63eb31/Emanuel-Aguilera,fc63eb31,Liga MX
