Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,Player Link_,Player ID_,Competition
1,Carlos Acevedo,MEX,GK,Santos,26,1996,33,33,2970,33.0,1.67,1.67,5.52,3.91,72.0,0.45,0.21,0.33,0.21,21.2,0.18,0.12,0.00,0.06,0.0,https://fbref.com/en/players/0810e384/Carlos-Acevedo,0810e384,Liga MX
2,Washington Aguerre,URU,GK,Querétaro,29,1993,9,9,810,9.0,2.33,2.33,5.00,2.56,53.3,0.00,0.33,0.67,0.00,0.0,0.11,0.00,0.11,0.00,100.0,https://fbref.com/en/players/19da9ece/Washington-Aguerre,19da9ece,Liga MX
3,Gil Alcalá,MEX,GK,UNAM,30,1992,2,2,180,2.0,2.00,2.00,4.50,3.00,55.6,0.00,0.50,0.50,0.00,0.0,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
4,Gil Alcalá,MEX,GK,Querétaro,30,1992,17,17,1530,17.0,1.24,1.24,4.82,3.59,76.8,0.24,0.47,0.29,0.29,29.4,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/a1bb9076/Gil-Alcala,a1bb9076,Liga MX
5,Esteban Andrada,ARG,GK,Monterrey,31,1991,25,25,2249,25.0,0.64,0.64,3.48,2.88,82.8,0.68,0.20,0.12,0.48,48.0,0.08,0.04,0.00,0.04,0.0,https://fbref.com/en/players/775d365e/Esteban-Andrada,775d365e,Liga MX
6,Luis Ángel Malagón,MEX,GK,América,25,1997,7,7,630,7.0,1.00,1.00,3.43,2.57,70.8,0.71,0.29,0.00,0.29,28.6,0.14,0.00,0.14,0.00,100.0,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
7,Luis Ángel Malagón,MEX,GK,Necaxa,25,1997,17,17,1530,17.0,1.53,1.53,4.88,3.47,71.1,0.29,0.24,0.47,0.18,17.6,0.12,0.12,0.00,0.00,0.0,https://fbref.com/en/players/48bd91d4/Luis-Angel-Malagon,48bd91d4,Liga MX
8,José Antonio Rodríguez,MEX,GK,Querétaro,30,1992,8,8,720,8.0,1.75,1.75,3.50,1.75,67.9,0.13,0.38,0.50,0.13,12.5,0.63,0.63,0.00,0.00,0.0,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
9,José Antonio Rodríguez,MEX,GK,Tijuana,30,1992,17,17,1530,17.0,1.71,1.71,5.24,3.59,71.9,0.18,0.41,0.41,0.24,23.5,0.24,0.24,0.00,0.00,0.0,https://fbref.com/en/players/a78c131a/Jose-Antonio-Rodriguez,a78c131a,Liga MX
10,Marcelo Barovero,ARG,GK,Atlético,38,1984,33,33,2937,32.6,1.26,1.26,5.28,3.99,79.7,0.28,0.31,0.43,0.34,33.3,0.25,0.18,0.06,0.00,25.0,https://fbref.com/en/players/868c0f75/Marcelo-Barovero,868c0f75,Liga MX
