Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
28,Jonathan Orozco,MEX,GK,Tijuana,36,1986,17.0,1.76,0.12,0.06,0.18,0.00,1.44,0.29,-0.33,-0.33,5.59,13.9,40.1,26.5,3.94,37.9,34.8,8.65,44.9,39.6,15.9,0.88,5.6,0.29,0.29,11.7,https://fbref.com/en/players/8c6ca532/Jonathan-Orozco,8c6ca532,Liga MX
29,Miguel Ortega,MEX,GK,UANL,27,1995,1.0,3.00,1.00,0.00,0.00,0.00,2.60,0.40,-0.40,-0.40,2.00,10.0,20.0,24.0,2.00,37.5,35.7,4.00,25.0,34.5,4.00,0.00,0.0,0.00,0.00,15.0,https://fbref.com/en/players/aa41e29e/Miguel-Ortega,aa41e29e,Liga MX
30,Rafael Ramírez,MEX,GK,Necaxa,29,1992,1.0,3.00,2.00,0.00,0.00,0.00,2.70,0.18,-0.30,-0.34,5.00,11.0,45.5,17.0,2.00,52.9,42.7,7.00,28.6,33.4,11.0,0.00,0.0,3.00,3.00,24.3,https://fbref.com/en/players/841c78f2/Rafael-Ramirez,841c78f2,Liga MX
31,Jesús Rodríguez,MEX,GK,Puebla,29,1993,3.0,0.67,0.00,0.00,0.00,0.00,1.00,0.22,0.33,+0.34,4.67,12.0,38.9,25.0,2.33,25.3,29.0,8.67,65.4,48.5,16.3,0.33,2.0,1.00,1.00,12.3,https://fbref.com/en/players/ce147009/Jesus-Rodriguez,ce147009,Liga MX
32,Andrés Sánchez,MEX,GK,Atlético,24,1997,1.0,3.00,0.00,0.00,0.00,0.00,2.00,0.40,-1.00,-1.01,4.00,9.00,44.4,24.0,10.0,33.3,30.7,3.00,33.3,18.3,6.00,2.00,33.3,5.00,5.00,21.0,https://fbref.com/en/players/2d43706b/Andres-Sanchez,2d43706b,Liga MX
33,José Santiago Hernández,MEX,GK,Atlas,25,1997,4.9,1.84,0.00,0.00,0.20,0.00,1.39,0.23,-0.45,-0.44,6.53,21.2,30.8,29.4,4.90,46.5,39.0,10.2,74.0,57.2,19.2,1.02,5.3,1.63,1.64,13.8,https://fbref.com/en/players/2a860a40/Jose-Santiago-Hernandez,2a860a40,Liga MX
34,Antony Silva,PAR,GK,Puebla,38,1984,31.0,1.71,0.16,0.13,0.29,0.13,1.50,0.25,-0.08,-0.08,4.39,11.4,38.5,16.7,4.13,43.9,38.7,9.94,40.9,37.6,15.0,0.35,2.4,0.39,0.39,10.5,https://fbref.com/en/players/949bc248/Antony-Silva,949bc248,Liga MX
35,Sebastián Sosa,URU,GK,UNAM,35,1986,12.0,2.00,0.17,0.08,0.17,0.08,1.78,0.32,-0.14,-0.14,5.42,14.3,37.8,24.1,5.00,38.1,34.6,8.50,60.8,47.7,17.2,1.00,5.8,1.00,1.00,15.2,https://fbref.com/en/players/34074967/Sebastian-Sosa,34074967,Liga MX
36,Alfredo Talavera,MEX,GK,FC Juárez,39,1982,34.0,1.26,0.26,0.00,0.09,0.03,1.28,0.24,0.04,+0.04,5.41,12.1,44.7,22.8,5.41,31.7,33.7,8.26,59.1,49.0,13.3,1.03,7.7,0.50,0.50,12.6,https://fbref.com/en/players/5c7fc905/Alfredo-Talavera,5c7fc905,Liga MX
37,Óscar Ustari,ARG,GK,Pachuca,36,1986,30.5,1.11,0.10,0.00,0.16,0.00,1.15,0.25,0.03,+0.03,6.26,14.9,42.1,21.3,5.15,47.2,39.5,8.30,58.1,44.4,10.6,0.89,8.3,1.21,1.21,15.9,https://fbref.com/en/players/40e417fa/Oscar-Ustari,40e417fa,Liga MX
38,Camilo Vargas,COL,GK,Atlas,33,1989,29.1,1.37,0.07,0.00,0.17,0.00,1.27,0.25,-0.10,-0.10,7.46,18.6,40.0,29.3,3.06,45.0,38.5,9.14,59.4,49.3,12.0,0.48,4.0,1.34,1.34,16.9,https://fbref.com/en/players/004e3d0f/Camilo-Vargas,004e3d0f,Liga MX
39,Nicolás Vikonis,URU,GK,Mazatlán,38,1984,21.5,1.77,0.09,0.00,0.33,0.05,1.67,0.29,-0.06,-0.05,6.65,15.1,44.1,23.4,4.47,40.8,36.4,9.21,60.1,46.1,16.0,0.84,5.2,0.93,0.93,13.4,https://fbref.com/en/players/88f918b9/Nicolas-Vikonis,88f918b9,Liga MX
40,Tiago Volpi,BRA,GK,Toluca,31,1990,32.0,1.25,0.09,0.06,0.25,0.03,1.35,0.26,0.13,+0.13,7.06,15.6,45.2,29.1,3.38,37.9,37.8,7.69,59.8,50.8,15.7,0.63,4.0,1.47,1.47,15.4,https://fbref.com/en/players/fba79ac8/Tiago-Volpi,fba79ac8,Liga MX
