Rk,Player,Nation,Pos,Squad,Age,Born,90s,Goals_GA,Goals_PKA,Goals_FK,Goals_CK,Goals_OG,Expected_PSxG,Expected_PSxG/SoT,Expected_PSxG+/-,Expected_/90,Launched_Cmp,Launched_Att,Launched_Cmp%,Passes_Att (GK),Passes_Thr,Passes_Launch%,Passes_AvgLen,Goal Kicks_Att,Goal Kicks_Launch%,Goal Kicks_AvgLen,Crosses_Opp,Crosses_Stp,Crosses_Stp%,Sweeper_#OPA,Sweeper_#OPA/90,Sweeper_AvgDist,Player Link_,Player ID_,Competition
1,Doğan Alemdar,TUR,GK,Troyes,21-071,2002,15.5,1.23,0.13,0.00,0.13,0.00,1.46,0.32,0.23,+0.23,3.74,12.7,29.4,31.9,3.87,26.9,29.7,7.61,54.2,41.2,21.2,1.03,4.9,0.71,0.71,11.2,https://fbref.com/en/players/9e17ccff/Dogan-Alemdar,9e17ccff,Ligue 2
2,Bobby Allain,FRA,GK,Grenoble,32-041,1991,2.0,0.00,0.00,0.00,0.00,0.00,0.90,0.21,0.40,+0.28,5.50,16.0,34.4,43.0,6.50,32.6,31.6,8.50,23.5,25.7,27.0,2.50,9.3,2.00,1.33,13.2,https://fbref.com/en/players/8870154f/Bobby-Allain,8870154f,Ligue 2
3,Arnaud Balijon,FRA,GK,Dunkerque,40-205,1983,19.0,1.68,0.16,0.05,0.11,0.05,1.81,0.36,0.17,+0.18,5.79,13.6,42.5,32.7,4.42,34.9,33.4,7.16,30.9,32.3,14.8,1.05,7.1,1.05,1.05,13.5,https://fbref.com/en/players/ccb5b75d/Arnaud-Balijon,ccb5b75d,Ligue 2
4,Enzo Basilio,FRA,GK,Guingamp,29-097,1994,19.0,0.89,0.16,0.05,0.16,0.05,0.89,0.25,0.05,+0.05,8.42,21.5,39.2,22.8,2.26,69.3,44.9,5.89,96.4,60.9,12.6,1.26,10.0,1.26,1.26,13.7,https://fbref.com/en/players/8627d27e/Enzo-Basilio,8627d27e,Ligue 2
5,Kayne Bonnevie,FRA,GK,Quevilly-Rouen,22-170,2001,2.0,2.00,0.00,0.00,0.00,0.00,1.45,0.36,-0.55,-0.56,11.0,25.5,43.1,15.5,0.50,87.1,53.2,12.0,100.0,59.8,19.0,0.00,0.0,0.00,0.00,,https://fbref.com/en/players/0df854bb/Kayne-Bonnevie,0df854bb,Ligue 2
6,Zacharie Boucher,FRA,GK,Bastia,31-307,1992,2.0,1.50,0.00,0.00,0.50,0.50,1.25,0.36,0.25,+0.25,7.00,14.0,50.0,21.0,5.50,38.1,33.5,9.50,63.2,45.7,19.0,0.50,2.6,1.00,1.00,20.0,https://fbref.com/en/players/249cdcff/Zacharie-Boucher,249cdcff,Ligue 2
7,Thomas Callens,FRA,GK,Annecy,25-124,1998,1.2,3.33,0.00,0.00,0.83,0.83,2.42,0.32,-0.08,-0.09,3.33,8.33,40.0,14.2,2.50,35.3,34.1,4.17,80.0,55.0,8.33,0.83,10.0,0.00,0.00,8.5,https://fbref.com/en/players/be90e307/Thomas-Callens,be90e307,Ligue 2
8,Sébastien Cibois,FRA,GK,Rodez Aveyron,25-312,1998,1.0,3.00,0.00,0.00,1.00,0.00,2.00,0.58,-1.00,-1.04,3.00,9.00,33.3,26.0,4.00,26.9,32.8,5.00,40.0,45.4,9.00,0.00,0.0,1.00,1.00,28.0,https://fbref.com/en/players/2b9b37b2/Sebastien-Cibois,2b9b37b2,Ligue 2
9,Yannis Clementia,MTQ,GK,Caen,26-187,1997,1.0,2.00,0.00,0.00,0.00,0.00,1.00,0.35,-1.00,-0.96,4.00,15.0,26.7,27.0,1.00,33.3,30.9,6.00,100.0,63.8,2.00,0.00,0.0,2.00,2.00,38.5,https://fbref.com/en/players/7800bdb8/Yannis-Clementia,7800bdb8,Ligue 2
10,Florian Escales,FRA,GK,Annecy,27-339,1996,17.8,1.29,0.00,0.00,0.00,0.06,1.18,0.29,-0.06,-0.05,5.28,16.8,31.4,24.2,4.55,48.6,39.0,6.18,81.8,57.8,15.4,0.67,4.4,2.13,2.13,18.5,https://fbref.com/en/players/e0238966/Florian-Escales,e0238966,Ligue 2
