Rk,Player,Nation,Pos,Squad,Age,Born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Player Link_,Player ID_,Competition
1,Abdel Abdallah,COM,DF,Rodez Aveyron,26-143,1997,19,14,1231,13.7,0.00,0.00,0.00,0.00,0.00,0.00,0.22,0.00,0.05,0.05,0.09,0.14,3.87,4.23,7.37,0.00,0.00,0.00,0.00,0.00,0.05,0.09,0.14,0.05,0.14,https://fbref.com/en/players/18f2e473/Abdel-Abdallah,18f2e473,Ligue 2
2,Himad Abdelli,ALG,"MF,FW",Angers,24-052,1999,18,18,1618,18.0,0.22,0.11,0.33,0.06,0.17,0.17,0.17,0.00,0.23,0.10,0.11,0.21,4.17,8.67,4.61,0.22,0.11,0.33,0.06,0.17,0.23,0.11,0.34,0.10,0.21,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Ligue 2
3,Ali Abdi,TUN,"DF,MF",Caen,30-019,1993,19,19,1710,19.0,0.26,0.05,0.32,0.26,0.00,0.00,0.16,0.00,0.21,0.21,0.11,0.31,3.37,4.58,9.16,0.26,0.05,0.32,0.26,0.32,0.20,0.10,0.31,0.20,0.31,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ad7cdb35,Ligue 2
4,Elhadj Abdourahamane Bah,GUI,FW,Dunkerque,22-139,2001,4,1,112,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,0.00,0.00,0.00,0.00,0.00,,,,,,https://fbref.com/en/players/9edcee65/Elhadj-Abdourahamane-Bah,9edcee65,Ligue 2
5,Salomon Abergel,FRA,DF,Ajaccio,19-188,2004,4,1,172,1.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,2.63,1.05,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.00,0.05,https://fbref.com/en/players/09273360/Salomon-Abergel,09273360,Ligue 2
6,Martin Adeline,FRA,MF,Annecy,20-037,2003,16,14,1225,13.6,0.07,0.00,0.07,0.07,0.00,0.00,0.37,0.00,0.04,0.04,0.03,0.07,0.88,4.63,2.79,0.07,0.00,0.07,0.07,0.07,0.04,0.03,0.07,0.04,0.07,https://fbref.com/en/players/7587446d/Martin-Adeline,7587446d,Ligue 2
7,Jordan Adéoti,BEN,"MF,FW",Stade Laval,34-302,1989,7,1,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.82,5.45,5.45,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/508c8f3e/Jordan-Adeoti,508c8f3e,Ligue 2
8,Saad Agouzoul,MAR,DF,Auxerre,26-151,1997,6,5,466,5.2,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.10,0.10,0.00,0.10,0.19,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10,https://fbref.com/en/players/e08ba522/Saad-Agouzoul,e08ba522,Ligue 2
9,Ange Ahoussou,CIV,"DF,MF",Pau FC,20-017,2003,12,6,545,6.1,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.16,0.02,0.02,0.00,0.02,0.33,2.30,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,https://fbref.com/en/players/6449f935/Ange-Ahoussou,6449f935,Ligue 2
10,Clément Akpa,CIV,DF,Auxerre,22-045,2001,11,5,481,5.3,0.00,0.19,0.19,0.00,0.00,0.00,0.38,0.00,0.00,0.00,0.08,0.08,1.51,6.23,4.72,0.00,0.19,0.19,0.00,0.19,0.00,0.07,0.07,0.00,0.07,https://fbref.com/en/players/0abb5072/Clement-Akpa,0abb5072,Ligue 2
