Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Player Link_,Player ID_,Competition
1,Abdel Abdallah,COM,DF,Rodez Aveyron,26-143,1997,13.7,53.5,2.34,10.4,22.3,21.5,1.82,53.5,1.39,0.44,31.6,0.88,63.2,36.5,244.7,123.8,3.87,2.77,0.66,1.02,0.44,32.2,7.37,https://fbref.com/en/players/18f2e473/Abdel-Abdallah,18f2e473,Ligue 2
2,Himad Abdelli,ALG,"MF,FW",Angers,24-052,1999,18.0,75.9,1.56,8.78,47.7,21.2,1.61,75.8,3.56,1.78,50.0,1.61,45.3,57.7,395.0,182.0,4.17,3.89,0.50,2.44,0.94,54.6,4.61,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Ligue 2
3,Ali Abdi,TUN,"DF,MF",Caen,30-019,1993,19.0,67.9,1.95,15.7,30.3,22.7,3.84,67.9,2.74,1.16,42.3,1.47,53.8,44.2,284.0,125.9,3.37,2.42,0.68,2.05,1.00,40.3,9.16,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ad7cdb35,Ligue 2
4,Elhadj Abdourahamane Bah,GUI,FW,Dunkerque,22-139,2001,1.2,,,,,,,,,,,,,,,,,,,,,,,https://fbref.com/en/players/9edcee65/Elhadj-Abdourahamane-Bah,9edcee65,Ligue 2
5,Salomon Abergel,FRA,DF,Ajaccio,19-188,2004,1.9,72.1,3.16,26.3,40.5,5.79,0.00,72.1,0.53,0.53,100.0,0.00,0.0,47.4,241.6,106.3,0.00,1.05,0.00,2.63,0.00,42.6,1.05,https://fbref.com/en/players/09273360/Salomon-Abergel,09273360,Ligue 2
6,Martin Adeline,FRA,MF,Annecy,20-037,2003,13.6,50.7,2.94,9.19,31.1,11.0,1.62,50.7,1.47,0.51,35.0,0.88,60.0,29.6,165.6,65.1,0.88,1.25,0.22,1.25,0.81,23.8,2.79,https://fbref.com/en/players/7587446d/Martin-Adeline,7587446d,Ligue 2
7,Jordan Adéoti,BEN,"MF,FW",Stade Laval,34-302,1989,1.1,55.5,0.91,6.36,35.5,15.5,0.00,55.5,0.91,0.91,100.0,0.00,0.0,36.4,229.1,120.0,1.82,2.73,0.91,1.82,2.73,35.5,5.45,https://fbref.com/en/players/508c8f3e/Jordan-Adeoti,508c8f3e,Ligue 2
8,Saad Agouzoul,MAR,DF,Auxerre,26-151,1997,5.2,79.6,9.23,43.1,34.6,2.31,0.96,79.6,0.19,0.19,100.0,0.00,0.0,60.2,296.2,124.2,0.19,0.19,0.00,0.58,0.00,56.2,0.00,https://fbref.com/en/players/e08ba522/Saad-Agouzoul,e08ba522,Ligue 2
9,Ange Ahoussou,CIV,"DF,MF",Pau FC,20-017,2003,6.1,59.5,10.3,38.9,20.2,0.82,0.33,59.5,0.00,0.00,,0.00,,40.2,239.7,121.5,0.33,0.00,0.00,0.16,0.16,35.6,0.00,https://fbref.com/en/players/6449f935/Ange-Ahoussou,6449f935,Ligue 2
10,Clément Akpa,CIV,DF,Auxerre,22-045,2001,5.3,68.9,3.77,18.7,33.6,16.6,0.19,68.9,1.51,0.38,25.0,1.13,75.0,44.3,266.4,122.5,1.51,1.89,0.19,0.38,0.38,39.4,4.72,https://fbref.com/en/players/0abb5072/Clement-Akpa,0abb5072,Ligue 2
