Rk,Player,Nation,Pos,Squad,Age,Born,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Player Link_,Player ID_,Competition
29,Yohan Bai,FRA,MF,Bastia,27-102,1996,0.2,0.00,10.0,0.0,0.00,0.00,0.00,10.0,0.0,0.00,0.00,,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,https://fbref.com/en/players/e040f3c8/Yohan-Bai,e040f3c8,Ligue 2
30,Thierno Balde,FRA,DF,Troyes,21-212,2002,6.7,50.6,58.1,87.1,783.7,234.5,26.7,29.4,90.9,21.0,23.1,91.0,1.64,3.28,50.0,0.00,0.03,0.15,-0.03,0.45,2.99,0.90,0.45,4.48,https://fbref.com/en/players/3975195f/Thierno-Balde,3975195f,Ligue 2
31,Yasser Baldé,GUI,DF,Stade Laval,30-361,1993,8.4,45.8,59.0,77.6,980.4,406.5,12.9,15.2,84.4,23.7,27.0,87.7,8.57,15.1,56.7,0.00,0.01,0.04,-0.01,0.24,6.19,0.71,0.12,6.43,https://fbref.com/en/players/35f60fe8/Yasser-Balde,35f60fe8,Ligue 2
32,Arnaud Balijon,FRA,GK,Dunkerque,40-205,1983,19.0,30.7,40.1,76.5,836.8,555.9,4.95,5.00,98.9,14.8,14.9,99.3,10.7,19.7,54.1,0.00,0.00,0.00,0.00,0.00,0.32,0.00,0.00,0.00,https://fbref.com/en/players/ccb5b75d/Arnaud-Balijon,ccb5b75d,Ligue 2
33,Abdoulaye Bamba,CIV,DF,Angers,33-258,1990,18.0,55.2,62.8,87.9,1265.2,405.8,10.6,12.2,86.8,33.7,36.1,93.5,10.7,13.8,77.1,0.00,0.01,0.01,-0.01,0.17,2.72,0.11,0.00,2.44,https://fbref.com/en/players/7fecbcdb/Abdoulaye-Bamba,7fecbcdb,Ligue 2
34,Yacine Bammou,MAR,"FW,MF",Ajaccio,32-119,1991,15.3,23.3,33.0,70.5,344.6,63.7,11.9,15.6,76.2,8.17,11.2,73.1,1.18,2.48,47.4,0.07,0.08,0.10,-0.02,0.78,1.18,0.39,0.13,1.70,https://fbref.com/en/players/a1d04509/Yacine-Bammou,a1d04509,Ligue 2
35,Sacha Banse,BFA,MF,Valenciennes,22-298,2001,7.7,30.9,36.1,85.6,539.7,137.3,12.9,14.3,90.0,13.9,16.1,86.3,3.12,4.16,75.0,0.00,0.03,0.01,-0.03,0.65,2.86,0.00,0.00,2.34,https://fbref.com/en/players/f9eb9174/Sacha-Banse,f9eb9174,Ligue 2
36,Yoann Barbet,FRA,DF,Bordeaux,30-243,1993,19.0,70.1,79.8,87.8,1494.7,632.1,19.2,21.3,90.1,37.9,40.5,93.6,12.1,16.5,72.9,0.00,0.05,0.06,-0.05,0.47,6.84,0.53,0.11,7.68,https://fbref.com/en/players/c52bbd2c/Yoann-Barbet,c52bbd2c,Ligue 2
37,Enzo Bardeli,FRA,"MF,FW",Dunkerque,22-272,2001,15.1,36.9,44.8,82.3,567.5,152.5,18.7,21.3,87.9,14.6,17.2,84.9,2.12,3.31,64.0,0.07,0.20,0.14,-0.13,1.85,3.71,1.99,0.33,6.36,https://fbref.com/en/players/c7ac721f/Enzo-Bardeli,c7ac721f,Ligue 2
38,Gabriel Bares,SUI,MF,US Concarneau,23-132,2000,9.3,45.2,55.7,81.1,825.6,237.8,17.7,20.0,88.7,20.3,23.9,85.1,5.59,9.89,56.5,0.11,0.15,0.16,-0.04,1.29,4.73,0.11,0.11,4.62,https://fbref.com/en/players/5475a510/Gabriel-Bares,5475a510,Ligue 2
39,Mickaël Barreto,FRA,MF,Ajaccio,32-355,1991,6.9,40.4,53.2,76.0,750.3,251.6,18.4,22.5,81.9,15.9,19.7,80.9,5.22,9.42,55.4,0.00,0.07,0.14,-0.07,1.16,4.20,1.30,0.58,6.96,https://fbref.com/en/players/e3844ecb/Mickael-Barreto,e3844ecb,Ligue 2
40,Yacouba Barry,FRA,"MF,DF",Annecy,21-044,2002,12.1,22.2,32.3,68.8,363.8,153.4,11.1,14.0,79.3,8.10,11.7,69.5,1.90,4.13,46.0,0.25,0.19,0.10,0.06,0.66,3.97,0.33,0.17,4.63,https://fbref.com/en/players/9e03d22e/Yacouba-Barry,9e03d22e,Ligue 2
41,Maxime Barthelmé,FRA,MF,Guingamp,35-122,1988,0.2,45.0,60.0,75.0,690.0,220.0,20.0,20.0,100.0,5.00,10.0,50.0,10.0,15.0,66.7,0.00,0.00,0.00,0.00,5.00,0.00,5.00,0.00,5.00,https://fbref.com/en/players/9b8b52d3/Maxime-Barthelme,9b8b52d3,Ligue 2
42,Enzo Basilio,FRA,GK,Guingamp,29-097,1994,19.0,14.8,28.9,51.2,598.8,534.9,2.11,2.11,100.0,3.42,3.74,91.5,9.16,22.6,40.5,0.00,0.02,0.01,-0.02,0.16,0.89,0.05,0.00,0.00,https://fbref.com/en/players/8627d27e/Enzo-Basilio,8627d27e,Ligue 2
43,Souleymane Basse,SEN,DF,Valenciennes,20-063,2003,2.9,52.1,72.4,71.9,950.0,462.8,19.3,24.5,78.9,28.6,36.2,79.0,3.79,10.3,36.7,0.00,0.03,0.03,-0.03,0.34,4.14,0.00,0.00,5.17,https://fbref.com/en/players/3d722a83/Souleymane-Basse,3d722a83,Ligue 2
44,Norman Bassette,BEL,FW,Caen,19-060,2004,0.0,1,1,100.0,8,2,1,1,100.0,0,0,,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,https://fbref.com/en/players/9cd23b05/Norman-Bassette,9cd23b05,Ligue 2
45,Mons Bassouamina,CGO,"FW,MF",Pau FC,25-225,1998,10.6,13.3,18.4,72.3,206.2,38.7,6.70,9.15,73.2,4.72,6.23,75.8,0.85,1.51,56.3,0.19,0.05,0.04,0.14,0.57,0.47,0.38,0.09,1.04,https://fbref.com/en/players/c894b42e/Mons-Bassouamina,c894b42e,Ligue 2
46,Antoine Batisse,FRA,DF,Pau FC,28-360,1995,5.8,53.8,63.8,84.3,1114.0,378.6,13.1,15.9,82.6,31.7,34.1,92.9,7.41,11.9,62.3,0.00,0.00,0.02,0.00,0.00,4.31,0.17,0.00,4.48,https://fbref.com/en/players/7a4c23b9/Antoine-Batisse,7a4c23b9,Ligue 2
47,Dylan Batubinsika,COD,DF,Saint-Étienne,27-327,1996,15.0,49.7,54.1,91.7,933.0,253.3,16.9,18.4,91.7,29.2,30.4,96.1,2.67,3.93,67.8,0.07,0.01,0.01,0.06,0.13,1.07,0.13,0.00,2.07,https://fbref.com/en/players/37d39918/Dylan-Batubinsika,37d39918,Ligue 2
48,Marvin Baudry,CGO,DF,Stade Laval,33-347,1990,13.7,34.8,43.9,79.2,724.2,252.9,8.54,10.5,81.3,21.9,24.8,88.2,4.23,7.88,53.7,0.00,0.00,0.01,0.00,0.07,1.97,0.00,0.00,2.85,https://fbref.com/en/players/404a2746/Marvin-Baudry,404a2746,Ligue 2
49,Cyrille Bayala,BFA,"MF,FW",Ajaccio,27-229,1996,4.4,19.5,29.3,66.7,288.4,114.3,9.55,13.9,68.9,7.05,10.5,67.4,1.36,2.50,54.5,0.45,0.27,0.30,0.18,1.14,1.59,1.82,0.23,2.95,https://fbref.com/en/players/20e0dd86/Cyrille-Bayala,20e0dd86,Ligue 2
50,Ayman Ben Mohamed,TUN,DF,Guingamp,29-031,1994,10.6,41.1,53.1,77.4,640.3,285.4,20.7,24.1,85.9,17.2,21.6,79.5,1.70,3.96,42.9,0.00,0.14,0.21,-0.14,1.04,4.34,1.23,0.57,6.60,https://fbref.com/en/players/c0494ed8/Ayman-Ben-Mohamed,c0494ed8,Ligue 2
