Rk,Player,Nation,Pos,Squad,Age,Born,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Player Link_,Player ID_,Competition
1,Abdel Abdallah,COM,DF,Rodez Aveyron,26-143,1997,13.7,0.22,0.00,0.00,1.09,0.66,0.07,4.96,1.09,0.80,0.00,0.07,0.00,5.33,0.51,0.29,63.6,https://fbref.com/en/players/18f2e473/Abdel-Abdallah,18f2e473,Ligue 2
2,Himad Abdelli,ALG,"MF,FW",Angers,24-052,1999,18.0,0.17,0.00,0.00,1.44,1.11,0.17,1.83,0.89,0.94,0.00,0.00,0.00,6.78,0.78,0.61,56.0,https://fbref.com/en/players/7978cbf0/Himad-Abdelli,7978cbf0,Ligue 2
3,Ali Abdi,TUN,"DF,MF",Caen,30-019,1993,19.0,0.16,0.00,0.00,1.74,1.26,0.11,4.32,1.37,1.63,0.00,0.00,0.05,6.26,1.89,0.95,66.7,https://fbref.com/en/players/ad7cdb35/Ali-Abdi,ad7cdb35,Ligue 2
4,Elhadj Abdourahamane Bah,GUI,FW,Dunkerque,22-139,2001,1.2,0.00,0.00,0.00,3.33,1.67,0.83,0.83,0.00,0.83,,,0.00,,,,,https://fbref.com/en/players/9edcee65/Elhadj-Abdourahamane-Bah,9edcee65,Ligue 2
5,Salomon Abergel,FRA,DF,Ajaccio,19-188,2004,1.9,0.00,0.00,0.00,0.53,0.53,0.00,0.00,1.05,2.11,0.00,0.00,0.00,6.32,0.00,1.05,0.0,https://fbref.com/en/players/09273360/Salomon-Abergel,09273360,Ligue 2
6,Martin Adeline,FRA,MF,Annecy,20-037,2003,13.6,0.37,0.00,0.00,1.84,1.76,0.00,0.51,1.32,1.32,0.07,0.00,0.00,8.90,2.65,2.21,54.5,https://fbref.com/en/players/7587446d/Martin-Adeline,7587446d,Ligue 2
7,Jordan Adéoti,BEN,"MF,FW",Stade Laval,34-302,1989,1.1,0.00,0.00,0.00,4.55,2.73,0.00,1.82,0.00,0.91,0.00,0.00,0.00,7.27,0.91,1.82,33.3,https://fbref.com/en/players/508c8f3e/Jordan-Adeoti,508c8f3e,Ligue 2
8,Saad Agouzoul,MAR,DF,Auxerre,26-151,1997,5.2,0.19,0.00,0.00,0.96,0.38,0.00,0.00,1.54,0.96,0.00,0.00,0.00,4.62,1.35,2.31,36.8,https://fbref.com/en/players/e08ba522/Saad-Agouzoul,e08ba522,Ligue 2
9,Ange Ahoussou,CIV,"DF,MF",Pau FC,20-017,2003,6.1,0.33,0.16,0.00,1.31,0.98,0.16,0.16,2.13,0.98,0.00,0.00,0.00,5.74,1.48,1.31,52.9,https://fbref.com/en/players/6449f935/Ange-Ahoussou,6449f935,Ligue 2
10,Clément Akpa,CIV,DF,Auxerre,22-045,2001,5.3,0.38,0.00,0.00,0.94,1.70,0.00,4.53,1.89,0.94,0.00,0.00,0.00,5.66,0.94,1.70,35.7,https://fbref.com/en/players/0abb5072/Clement-Akpa,0abb5072,Ligue 2
11,Sofiane Alakouch,MAR,DF,Paris FC,25-163,1998,10.3,0.10,0.00,0.00,1.46,2.23,0.10,2.14,1.46,1.94,0.00,0.00,0.00,6.60,0.49,0.39,55.6,https://fbref.com/en/players/5314e067/Sofiane-Alakouch,5314e067,Ligue 2
12,Doğan Alemdar,TUR,GK,Troyes,21-071,2002,15.5,0.06,0.00,0.00,0.00,0.65,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.90,0.06,0.06,50.0,https://fbref.com/en/players/9e17ccff/Dogan-Alemdar,9e17ccff,Ligue 2
13,Migouel Alfarela,FRA,"FW,MF",Bastia,26-054,1997,12.8,0.00,0.00,0.00,0.63,0.31,0.94,0.55,0.47,0.47,0.00,0.00,0.00,4.61,0.94,2.81,25.0,https://fbref.com/en/players/681b4836/Migouel-Alfarela,681b4836,Ligue 2
14,Bobby Allain,FRA,GK,Grenoble,32-041,1991,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,0.00,100.0,https://fbref.com/en/players/8870154f/Bobby-Allain,8870154f,Ligue 2
15,Mickaël Alphonse,GLP,"DF,FW",Ajaccio,34-180,1989,1.6,0.63,0.00,0.00,1.88,0.00,0.00,2.50,1.25,0.00,0.00,0.00,0.00,6.88,1.25,1.88,40.0,https://fbref.com/en/players/0a63446f/Mickael-Alphonse,0a63446f,Ligue 2
16,Yacine El Amri,FRA,"MF,FW",Valenciennes,19-170,2004,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,https://fbref.com/en/players/cd118aaf/Yacine-El-Amri,cd118aaf,Ligue 2
17,Julien Anziani,FRA,"MF,FW",Dunkerque,24-199,1999,11.4,0.35,0.00,0.00,1.49,1.58,0.26,3.95,0.53,0.79,0.00,0.00,0.00,5.00,1.05,0.96,52.2,https://fbref.com/en/players/8d158016/Julien-Anziani,8d158016,Ligue 2
18,Dennis Appiah,FRA,DF,Saint-Étienne,31-213,1992,18.8,0.11,0.00,0.00,1.06,0.53,0.05,2.34,1.44,2.18,0.00,0.00,0.00,6.17,1.17,1.33,46.8,https://fbref.com/en/players/feb5d3ab/Dennis-Appiah,feb5d3ab,Ligue 2
19,Taïryk Arconte,FRA,FW,Rodez Aveyron,20-057,2003,6.8,0.44,0.00,0.00,1.62,0.74,1.91,0.44,0.44,0.29,0.00,0.00,0.00,1.62,0.15,0.74,16.7,https://fbref.com/en/players/c5e6c017/Tairyk-Arconte,c5e6c017,Ligue 2
20,Youssouf Assogba,BEN,DF,Amiens,22-140,2001,2.4,0.42,0.00,0.00,1.25,1.25,0.00,4.58,0.42,1.67,0.00,0.00,0.00,7.08,2.08,0.83,71.4,https://fbref.com/en/players/1ac639e8/Youssouf-Assogba,1ac639e8,Ligue 2
21,Kouadou Assoumou,FRA,FW,Troyes,21-083,2002,9.6,0.10,0.00,0.00,1.35,2.19,1.46,0.10,0.52,0.94,0.00,0.00,0.00,2.08,1.56,3.02,34.1,https://fbref.com/en/players/4de89eb7/Kouadou-Assoumou,4de89eb7,Ligue 2
22,Mathias Autret,FRA,"MF,FW",Caen,32-313,1991,13.6,0.00,0.00,0.00,1.10,0.29,0.15,6.47,0.96,0.66,0.00,0.00,0.00,6.76,0.44,1.03,30.0,https://fbref.com/en/players/7dfbba27/Mathias-Autret,7dfbba27,Ligue 2
23,Cédric Avinel,GLP,DF,Ajaccio,37-119,1986,12.0,0.00,0.00,0.00,0.33,0.08,0.00,0.00,1.42,0.58,0.00,0.00,0.08,4.33,1.42,0.75,65.4,https://fbref.com/en/players/a94d93be/Cedric-Avinel,a94d93be,Ligue 2
24,Florian Ayé,FRA,FW,Auxerre,26-354,1997,12.7,0.00,0.00,0.00,0.71,0.87,0.31,0.39,0.39,0.24,0.00,0.00,0.08,1.18,3.07,2.99,50.6,https://fbref.com/en/players/718b8afd/Florian-Aye,718b8afd,Ligue 2
25,Amadou Ba-Sy,FRA,FW,Dunkerque,22-214,2001,2.7,0.37,0.00,0.00,4.44,0.37,1.85,0.74,0.00,0.37,0.37,0.00,0.00,1.85,0.74,2.96,20.0,https://fbref.com/en/players/729c3100/Amadou-Ba-Sy,729c3100,Ligue 2
26,Vénuste Baboula,CTA,MF,Quevilly-Rouen,25-138,1998,1.0,0.00,0.00,0.00,1.00,0.00,1.00,6.00,0.00,2.00,0.00,0.00,0.00,7.00,0.00,2.00,0.0,https://fbref.com/en/players/2fadf83d/Venuste-Baboula,2fadf83d,Ligue 2
